model,dataset_size,dataset,fold,carte_lr_idx,test_score,best_val_loss,Created
CARTE 🗺️,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,1,,0.9999524641622068,"[-0.9999849200248718,-0.9999716281890868,-0.999881386756897,-0.9999412894248962,-0.9999521374702454]",2025-05-02T08:50:44.000Z
CARTE 🗺️,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,2,,0.9989127161264116,"[-0.9921185970306396,-0.9936828017234802,-0.9875870943069458,-0.9846843481063844,-0.9949771165847778]",2025-05-02T08:49:47.000Z
CARTE 🗺️,10000,REG_CONSUMER_JC_PENNEY_PRODUCT_PRICE,3,,0.9577431064963152,"[-0.8240296840667725,-0.8307188153266907,-0.8184146881103516,-0.8030167818069458,-0.7792363166809082]",2025-05-02T08:48:03.000Z
CARTE 🗺️,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,3,5.0,0.9848403177581592,"[-0.9810859560966492,-0.981517255306244,-0.9809277057647704,-0.9784750938415528,-0.979916512966156]",2025-05-01T00:19:22.000Z
CARTE 🗺️,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,2,5.0,0.9858160752111534,"[-0.978458821773529,-0.9793868064880372,-0.9786714315414428,-0.9757375717163086,-0.9824390411376952]",2025-05-01T00:19:19.000Z
CARTE 🗺️,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,1,5.0,0.9851277652457432,"[-0.983709990978241,-0.979515254497528,-0.9812229871749878,-0.9821444153785706,-0.9793524146080016]",2025-05-01T00:19:12.000Z
CARTE 🗺️,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,0,5.0,0.9861888451579004,"[-0.9793516993522644,-0.9807904958724976,-0.9806566834449768,-0.9826182723045348,-0.9794713854789734]",2025-05-01T00:19:12.000Z
CARTE 🗺️,10000,REG_SOCIAL_SPOTIFY_POPULARITY,3,5.0,0.5965679219940383,"[-0.670218825340271,-0.6524409651756287,-0.6176279187202454,-5.960464477539064e-8,-0.0000012516975402832031]",2025-05-01T00:18:47.000Z
CARTE 🗺️,10000,REG_SOCIAL_SPOTIFY_POPULARITY,2,5.0,0.6833912061813272,"[-0.6359142065048218,-0.6637511253356934,-0.6959861516952515,-0.6747046709060669,3.576278686523438e-7]",2025-05-01T00:18:40.000Z
CARTE 🗺️,10000,REG_SOCIAL_SPOTIFY_POPULARITY,1,5.0,0.6720482566307311,"[-0.6551263332366943,-0.6071666479110718,-0.6320568323135376,-0.6665796041488647,0.0011188983917236328]",2025-05-01T00:18:36.000Z
CARTE 🗺️,10000,REG_SOCIAL_SPOTIFY_POPULARITY,0,5.0,0.683929180746029,"[-0.7162548899650574,-0.6816868782043457,0.0015020370483398438,-0.6686724424362183,-0.6731520295143127]",2025-05-01T00:18:30.000Z
CARTE 🗺️,10000,REG_FOOD_ALCOHOL_WIKILIQ_PRICES,3,5.0,0.9624729962596356,"[-0.5542315244674683,-0.2579178214073181,-0.5161360502243042,-0.3751576542854309,-0.22611284255981445]",2025-05-01T00:16:30.000Z
CARTE 🗺️,10000,REG_FOOD_ALCOHOL_WIKILIQ_PRICES,2,5.0,0.9631425603164318,"[-0.27028536796569824,-0.45084959268569946,-0.4021124839782715,-0.4600677490234375,-0.4666804075241089]",2025-05-01T00:16:19.000Z
CARTE 🗺️,10000,REG_FOOD_ALCOHOL_WIKILIQ_PRICES,0,5.0,0.9698628873868416,"[-0.38920658826828,-0.38703763484954834,-0.43721383810043335,-0.08425450325012207,-0.3729249238967895]",2025-05-01T00:16:17.000Z
CARTE 🗺️,10000,REG_FOOD_ALCOHOL_WIKILIQ_PRICES,1,5.0,0.9518625889393356,"[-0.406477689743042,-0.5712579488754272,-0.3924880623817444,-0.4258294105529785,-0.5299054384231567]",2025-05-01T00:16:17.000Z
CARTE 🗺️,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,3,5.0,0.9995957529912064,"[-0.965259850025177,-0.991636335849762,-0.9645040035247804,-0.9811351299285888,-0.98356032371521]",2025-05-01T00:15:47.000Z
CARTE 🗺️,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,2,5.0,0.9979841566061078,"[-0.9758180379867554,-0.9868761301040648,-0.966803014278412,-0.9490026831626892,-0.9746148586273192]",2025-05-01T00:15:46.000Z
CARTE 🗺️,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,1,5.0,0.9999277567562552,"[-0.9997210502624512,-0.9998306035995485,-0.9996485710144044,-0.9998714327812196,-0.999647617340088]",2025-05-01T00:15:37.000Z
CARTE 🗺️,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,0,5.0,0.999680589873532,"[-0.9755748510360718,-0.9422866702079772,-0.9741125702857972,-0.9606989622116088,-0.9841638803482056]",2025-05-01T00:15:35.000Z
