model,dataset_size,dataset,fold,test_score,Created
CatBoost 😸,10000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.8011574922746556,2025-10-13T19:21:23.000Z
CatBoost 😸,10000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8108469072434924,2025-10-13T19:01:44.000Z
CatBoost 😸,10000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.8390204088758533,2025-10-13T19:00:38.000Z
CatBoost 😸,10000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8396270884617398,2025-10-13T18:55:28.000Z
CatBoost 😸,10000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.798159011155921,2025-10-13T18:56:56.000Z
CatBoost 😸,10000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8148186944604481,2025-10-13T18:54:15.000Z
CatBoost 😸,10000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.8645795143071632,2025-10-13T18:52:49.000Z
CatBoost 😸,10000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8289687319960195,2025-10-13T18:48:41.000Z
CatBoost 😸,10000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8114492222280417,2025-10-13T18:50:42.000Z
CatBoost 😸,10000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.8277422790202343,2025-10-13T18:51:29.000Z
CatBoost 😸,10000,REG_SPORTS_FIFA22_WAGES,0,0.9054594909967092,2025-04-20T07:19:26.000Z
CatBoost 😸,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,0,0.9610700271405048,2025-04-20T07:38:08.000Z
CatBoost 😸,10000,REG_FOOD_WINE_VIVINO_SPAIN,0,0.8498801086550714,2025-04-20T07:38:52.000Z
CatBoost 😸,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,0,0.874434323852634,2025-04-20T07:19:31.000Z
CatBoost 😸,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,0,0.2751777094506207,2025-04-20T07:41:21.000Z
CatBoost 😸,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,0,0.9977432061514256,2025-04-20T07:40:57.000Z
CatBoost 😸,10000,REG_SPORTS_FIFA22_WAGES,6,0.8893451792468942,2025-04-20T11:33:45.000Z
CatBoost 😸,10000,REG_SPORTS_FIFA22_WAGES,3,0.8770282048460712,2025-04-20T09:20:42.000Z
CatBoost 😸,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,0,0.8467792370231394,2025-04-20T07:34:21.000Z
CatBoost 😸,10000,REG_SPORTS_FIFA22_WAGES,7,0.8972438268257807,2025-04-20T12:18:32.000Z
CatBoost 😸,10000,MUL_FOOD_YELP_REVIEWS,0,0.8687457101932802,2025-04-20T07:40:49.000Z
CatBoost 😸,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,1,0.2343522066482432,2025-04-20T08:22:07.000Z
CatBoost 😸,10000,REG_FOOD_ALCOHOL_WIKILIQ_PRICES,0,0.9704656468981324,2025-04-20T07:38:58.000Z
