model,dataset_size,dataset,fold,test_score,Created
CatBoost-Tuned 😼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8473796651552145,2025-10-14T11:45:25.000Z
CatBoost-Tuned 😼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.8656435298221137,2025-10-14T09:26:23.000Z
CatBoost-Tuned 😼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8517221834670388,2025-10-14T02:49:56.000Z
CatBoost-Tuned 😼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.8753836763167073,2025-10-13T22:37:22.000Z
CatBoost-Tuned 😼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8813786187652598,2025-10-14T11:16:49.000Z
CatBoost-Tuned 😼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.8740626089989536,2025-10-14T14:09:54.000Z
CatBoost-Tuned 😼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8858170561562609,2025-10-14T15:20:31.000Z
CatBoost-Tuned 😼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.8404255319148937,2025-10-14T12:58:41.000Z
CatBoost-Tuned 😼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8380057551447507,2025-10-14T08:20:02.000Z
CatBoost-Tuned 😼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.831042901988141,2025-10-14T10:30:55.000Z
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,8,0.98433374474278,2025-05-07T13:50:07.000Z
CatBoost-Tuned 😼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,0.9841151996877756,2025-05-04T21:04:15.000Z
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,4,0.8473993281805248,2025-05-04T15:47:03.000Z
CatBoost-Tuned 😼,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,1,0.9996401451748046,2025-05-08T11:23:16.000Z
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,1,0.98473165915817,2025-05-07T11:27:02.000Z
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,8,0.8528105015920173,2025-05-05T00:34:03.000Z
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,5,0.8597465875315656,2025-05-04T15:47:03.000Z
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,3,0.8406626264914687,2025-05-04T15:46:59.000Z
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,2,0.9870586671890346,2025-05-07T11:42:51.000Z
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,1,0.8558926707796649,2025-05-04T15:46:58.000Z
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,6,0.8472804859773261,2025-05-04T15:47:03.000Z
