model,dataset_size,dataset,fold,test_score,Created
LightGBM 💡,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,9,0.89725849609762,2025-07-11T10:28:24.000Z
LightGBM 💡,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,8,0.8952800185190719,2025-07-11T10:28:03.000Z
LightGBM 💡,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,7,0.8914630028345524,2025-07-11T10:27:37.000Z
LightGBM 💡,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,6,0.890501789834542,2025-07-11T10:27:11.000Z
LightGBM 💡,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,5,0.90577396813713,2025-07-11T10:26:50.000Z
LightGBM 💡,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,4,0.8976704139739408,2025-07-11T10:26:23.000Z
LightGBM 💡,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,3,0.8950950659811744,2025-07-11T10:26:03.000Z
LightGBM 💡,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,2,0.8960500983417269,2025-07-11T10:25:36.000Z
LightGBM 💡,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,1,0.8971743856128928,2025-07-11T10:25:15.000Z
LightGBM 💡,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,0,0.8831194247022889,2025-07-11T10:24:49.000Z
LightGBM 💡,10000,REG_FOOD_WINE_VIVINO_SPAIN,9,0.8388095264030402,2025-07-11T01:33:37.000Z
LightGBM 💡,10000,REG_FOOD_WINE_VIVINO_SPAIN,8,0.8661390818447824,2025-07-11T01:33:31.000Z
LightGBM 💡,10000,REG_FOOD_WINE_VIVINO_SPAIN,7,0.8429513713483756,2025-07-11T01:33:17.000Z
LightGBM 💡,10000,REG_FOOD_WINE_VIVINO_SPAIN,6,0.8534464408716496,2025-07-11T01:33:11.000Z
LightGBM 💡,10000,REG_FOOD_WINE_VIVINO_SPAIN,5,0.8640205063713183,2025-07-11T01:33:04.000Z
LightGBM 💡,10000,REG_FOOD_WINE_VIVINO_SPAIN,4,0.8796453475796925,2025-07-11T01:32:51.000Z
LightGBM 💡,10000,REG_FOOD_WINE_VIVINO_SPAIN,3,0.8376042128011465,2025-07-11T01:32:45.000Z
LightGBM 💡,10000,REG_FOOD_WINE_VIVINO_SPAIN,2,0.8506329482732559,2025-07-11T01:32:38.000Z
LightGBM 💡,10000,REG_FOOD_WINE_VIVINO_SPAIN,1,0.8444068297081107,2025-07-11T01:32:25.000Z
