model,dataset_size,dataset,fold,test_score,Created
LightGBM-Tuned ⚡,10000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8115015974440896,2025-10-14T05:48:55.000Z
LightGBM-Tuned ⚡,10000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.8343502854449274,2025-10-14T04:47:53.000Z
LightGBM-Tuned ⚡,10000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.8053736971665009,2025-10-14T03:47:13.000Z
LightGBM-Tuned ⚡,10000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8494125246599975,2025-10-14T02:46:17.000Z
LightGBM-Tuned ⚡,10000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8258785942492013,2025-10-14T01:45:29.000Z
LightGBM-Tuned ⚡,10000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.8745351699575762,2025-10-14T00:44:42.000Z
LightGBM-Tuned ⚡,10000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.8376324656505875,2025-10-13T23:43:45.000Z
LightGBM-Tuned ⚡,10000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8110127620943104,2025-10-13T22:41:49.000Z
LightGBM-Tuned ⚡,10000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8209465947380367,2025-10-13T21:39:16.000Z
LightGBM-Tuned ⚡,10000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.8149976431152779,2025-10-13T20:37:10.000Z
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,9,0.2503627628149407,2025-07-19T10:25:43.000Z
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,3,0.3196549218711171,2025-07-18T19:12:55.000Z
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,4,0.3381024855329323,2025-07-18T19:12:52.000Z
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,6,0.2114914197347156,2025-07-18T19:12:51.000Z
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,2,0.1173254661555286,2025-07-18T19:12:51.000Z
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,5,0.1661693121829138,2025-07-18T19:12:51.000Z
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,1,0.2237941852772041,2025-07-18T19:12:48.000Z
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,7,0.2094248207741565,2025-07-18T19:12:48.000Z
