model,dataset_size,dataset,fold,test_score,Created
LightGBM-Tuned ⚡,100000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8820587722357865,2025-10-14T15:22:31.000Z
LightGBM-Tuned ⚡,100000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.8713507150331357,2025-10-14T14:14:44.000Z
LightGBM-Tuned ⚡,100000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.8330354028601324,2025-10-14T13:06:30.000Z
LightGBM-Tuned ⚡,100000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8509461109173352,2025-10-14T12:05:16.000Z
LightGBM-Tuned ⚡,100000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8767527031740495,2025-10-14T11:18:43.000Z
LightGBM-Tuned ⚡,100000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.827158179281479,2025-10-14T10:31:33.000Z
LightGBM-Tuned ⚡,100000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.8718215905127311,2025-10-14T10:13:47.000Z
LightGBM-Tuned ⚡,100000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.863899546564353,2025-10-14T09:27:42.000Z
LightGBM-Tuned ⚡,100000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8372253226369027,2025-10-14T09:03:14.000Z
LightGBM-Tuned ⚡,100000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8471616672479945,2025-10-14T03:50:15.000Z
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,9,0.999988830094345,2025-07-24T00:37:17.000Z
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,8,0.9998374979413698,2025-07-24T00:33:15.000Z
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,7,0.999935514288196,2025-07-24T00:32:19.000Z
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,6,0.9999915939405783,2025-07-24T00:30:15.000Z
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,5,0.99994569656414,2025-07-24T00:29:30.000Z
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,3,0.9999891034114674,2025-07-23T20:15:20.000Z
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,0,0.9999743476888664,2025-07-23T20:15:19.000Z
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,4,0.9998838604638663,2025-07-23T20:15:14.000Z
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,2,0.9999566276071008,2025-07-23T20:15:14.000Z
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,1,0.9999841487361862,2025-07-23T20:15:13.000Z
LightGBM-Tuned ⚡,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,0.9840011317823582,2025-07-23T11:52:19.000Z
