model,dataset_size,dataset,fold,test_score,Created
RealMLP 🕸,10000,MUL_FOOD_YELP_REVIEWS,5,0.8718094051027098,2025-07-11T22:45:58.000Z
RealMLP 🕸,10000,MUL_FOOD_YELP_REVIEWS,9,0.8765659630156046,2025-07-11T19:55:45.000Z
RealMLP 🕸,10000,MUL_FOOD_YELP_REVIEWS,8,0.872342231398078,2025-07-11T19:55:21.000Z
RealMLP 🕸,10000,MUL_FOOD_YELP_REVIEWS,7,0.8758032574998792,2025-07-11T19:54:52.000Z
RealMLP 🕸,10000,MUL_FOOD_YELP_REVIEWS,6,0.8790050727705296,2025-07-11T19:54:42.000Z
RealMLP 🕸,10000,MUL_FOOD_YELP_REVIEWS,4,0.8781668479036467,2025-07-11T19:53:58.000Z
RealMLP 🕸,10000,MUL_FOOD_YELP_REVIEWS,3,0.8781294447432684,2025-07-11T19:53:13.000Z
RealMLP 🕸,10000,MUL_FOOD_YELP_REVIEWS,2,0.8788748530627917,2025-07-11T19:52:34.000Z
RealMLP 🕸,10000,MUL_FOOD_YELP_REVIEWS,1,0.8779566935003968,2025-07-11T19:51:34.000Z
RealMLP 🕸,10000,MUL_FOOD_YELP_REVIEWS,0,0.8774195326037922,2025-07-11T19:51:11.000Z
RealMLP 🕸,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,0.9702760853224752,2025-07-11T19:50:05.000Z
RealMLP 🕸,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,0.9630832630476917,2025-07-11T19:49:53.000Z
RealMLP 🕸,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,0.9650896641527708,2025-07-11T19:49:28.000Z
RealMLP 🕸,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,0.9459759112731873,2025-07-11T19:48:51.000Z
RealMLP 🕸,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,0.9601026184814134,2025-07-11T19:48:09.000Z
RealMLP 🕸,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,0.9731794661887369,2025-07-11T19:47:46.000Z
RealMLP 🕸,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,0.960815339783594,2025-07-11T19:47:32.000Z
RealMLP 🕸,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,0.9662790549172025,2025-07-11T19:46:51.000Z
RealMLP 🕸,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,0.9692098239522948,2025-07-11T19:46:28.000Z
RealMLP 🕸,10000,MUL_HOUSES_MELBOURNE_AIRBNB,9,0.8070818141008027,2025-07-11T19:46:14.000Z
RealMLP 🕸,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,0.968672061398576,2025-07-11T19:46:14.000Z
RealMLP 🕸,10000,MUL_HOUSES_MELBOURNE_AIRBNB,8,0.8237388631965997,2025-07-11T19:45:24.000Z
RealMLP 🕸,10000,MUL_HOUSES_MELBOURNE_AIRBNB,7,0.8145372489101337,2025-07-11T19:45:22.000Z
