model,dataset_size,dataset,fold,test_score,Created
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8096684648824176,2025-10-13T22:52:00.000Z
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8293571815150403,2025-10-13T21:46:13.000Z
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8400460901901221,2025-10-14T03:21:44.000Z
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.7978011138462612,2025-10-14T19:27:16.000Z
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.7134595576040085,2025-10-14T04:26:39.000Z
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.800799594964996,2025-10-14T02:02:03.000Z
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.8534541454983502,2025-10-14T05:36:52.000Z
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.8236002723511234,2025-10-13T20:38:38.000Z
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.84619144887306,2025-10-14T00:46:19.000Z
RealMLP-Tuned 🌐,10000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8188472214947886,2025-10-14T06:47:13.000Z
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,8,0.968770096078515,2025-07-22T21:18:26.000Z
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,9,0.9740595626451438,2025-07-22T07:00:42.000Z
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,8,0.9735705716769764,2025-07-22T06:43:58.000Z
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,7,0.9750011260130756,2025-07-22T06:43:44.000Z
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,6,0.9756027936551118,2025-07-22T06:38:37.000Z
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,5,0.97602665052251,2025-07-22T06:34:46.000Z
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,4,0.9788749597939118,2025-07-22T06:31:27.000Z
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,3,0.9794779192284284,2025-07-22T06:28:35.000Z
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,2,0.977046314327744,2025-07-22T06:21:53.000Z
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,1,0.9765350229949616,2025-07-22T06:10:06.000Z
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,0,0.9751566837816272,2025-07-22T05:31:04.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,9,0.2562358379364013,2025-07-22T04:32:06.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,8,0.2897713184356689,2025-07-22T04:24:37.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,7,0.1893870234489441,2025-07-22T04:23:48.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,6,0.1917383670806884,2025-07-22T04:23:17.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,5,0.1404141783714294,2025-07-22T04:17:52.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,4,0.2578412294387817,2025-07-22T04:17:13.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,3,0.1884163618087768,2025-07-22T04:12:38.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,2,-0.0179367065429687,2025-07-22T04:12:00.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,0,0.2436370849609375,2025-07-22T04:06:38.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,1,0.1454448699951172,2025-07-22T04:06:04.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,9,0.1694276928901672,2025-07-22T04:04:02.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,8,-0.0490286350250244,2025-07-22T04:00:35.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,7,0.3838998079299927,2025-07-22T03:59:41.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,6,0.1518685817718506,2025-07-22T03:53:42.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,5,0.2560914158821106,2025-07-22T03:53:18.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,4,0.2050638794898986,2025-07-22T03:49:53.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,3,0.183345079421997,2025-07-22T03:47:40.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,2,0.3125559091567993,2025-07-22T03:47:23.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,1,0.2056009173393249,2025-07-22T03:44:47.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,0,0.1588687300682068,2025-07-22T02:51:15.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,9,0.9905766770243644,2025-07-22T02:34:05.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,8,0.994921071920544,2025-07-22T02:26:50.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,7,0.9909383933991194,2025-07-22T02:10:44.000Z
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,6,0.9924968178384006,2025-07-22T02:06:02.000Z
