model,dataset_size,dataset,fold,test_score,Created
RealMLP-Tuned 🌐,100000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8544340774328566,2025-10-14T15:23:02.000Z
RealMLP-Tuned 🌐,100000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.8567753749564004,2025-10-15T08:20:20.000Z
RealMLP-Tuned 🌐,100000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.8482124171607952,2025-10-14T13:07:36.000Z
RealMLP-Tuned 🌐,100000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8532089291942797,2025-10-14T12:24:13.000Z
RealMLP-Tuned 🌐,100000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8631714335542379,2025-10-14T11:35:43.000Z
RealMLP-Tuned 🌐,100000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.8322811301011511,2025-10-14T10:34:04.000Z
RealMLP-Tuned 🌐,100000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.8632978723404255,2025-10-14T10:13:23.000Z
RealMLP-Tuned 🌐,100000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8239623299616324,2025-10-14T09:03:24.000Z
RealMLP-Tuned 🌐,100000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8289130624346006,2025-10-14T04:53:26.000Z
RealMLP-Tuned 🌐,100000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.859799005929543,2025-10-13T22:59:01.000Z
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,9,0.9673241414129734,2025-07-26T02:44:17.000Z
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,8,0.93671153485775,2025-07-26T02:25:32.000Z
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,7,0.9478874914348124,2025-07-26T01:51:53.000Z
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,6,0.9607030339539052,2025-07-26T01:29:51.000Z
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,5,0.9510609321296216,2025-07-26T00:31:19.000Z
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,4,0.9540555365383624,2025-07-26T00:02:32.000Z
