model,dataset_size,dataset,fold,test_score,Created
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,0,0.92950842017605,2025-10-10T09:03:21.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,9,0.9419758417762292,2025-10-10T09:00:45.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,8,0.9374612647177932,2025-10-10T08:58:08.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,7,0.9364425874306012,2025-10-10T08:55:32.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,6,0.9382269655746944,2025-10-10T08:52:53.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,5,0.9352836914608372,2025-10-10T08:50:17.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,4,0.9442188028872333,2025-10-10T08:47:40.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,3,0.9404276400049778,2025-10-10T08:44:59.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,2,0.9394275588920764,2025-10-10T08:42:23.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,1,0.9402075184352544,2025-10-10T08:39:41.000Z
TabDPT 6️⃣,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,9,0.6996024816176472,2025-10-09T20:23:36.000Z
TabDPT 6️⃣,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,8,0.7063223805147059,2025-10-09T20:23:18.000Z
TabDPT 6️⃣,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,7,0.7081008731617648,2025-10-09T20:23:03.000Z
TabDPT 6️⃣,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,6,0.7204159007352942,2025-10-09T20:22:59.000Z
TabDPT 6️⃣,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,5,0.7187683823529412,2025-10-09T20:22:04.000Z
TabDPT 6️⃣,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,4,0.6877906709558823,2025-10-09T20:22:01.000Z
TabDPT 6️⃣,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,3,0.6983754595588235,2025-10-09T20:21:51.000Z
TabDPT 6️⃣,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,2,0.7201769301470587,2025-10-09T20:21:34.000Z
TabDPT 6️⃣,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,1,0.6986511948529412,2025-10-09T20:21:14.000Z
TabDPT 6️⃣,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,0,0.7165647977941176,2025-10-09T20:21:13.000Z
TabDPT 6️⃣,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,9,0.8577817699916834,2025-10-09T20:20:35.000Z
TabDPT 6️⃣,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,8,0.8434320470575877,2025-10-09T20:20:32.000Z
TabDPT 6️⃣,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,7,0.8539264219372159,2025-10-09T20:20:23.000Z
TabDPT 6️⃣,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,6,0.8602053231106984,2025-10-09T20:20:05.000Z
TabDPT 6️⃣,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,5,0.8523516560536962,2025-10-09T20:19:35.000Z
