model,dataset_size,dataset,fold,test_score,Created
TabICL 🗼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,0.941028636427802,2025-07-12T20:03:29.000Z
TabICL 🗼,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,9,0.7398402169076176,2025-07-12T19:35:10.000Z
TabICL 🗼,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,8,0.7628929754541619,2025-07-12T19:34:57.000Z
TabICL 🗼,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,7,0.7320258394189121,2025-07-12T19:34:37.000Z
TabICL 🗼,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,6,0.7371104740944647,2025-07-12T19:34:17.000Z
TabICL 🗼,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,5,0.75366658272765,2025-07-12T19:34:12.000Z
TabICL 🗼,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,4,0.7321436989969863,2025-07-12T19:34:10.000Z
TabICL 🗼,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,3,0.7285389206822288,2025-07-12T19:33:44.000Z
TabICL 🗼,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,2,0.7230909335513449,2025-07-12T19:33:25.000Z
TabICL 🗼,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,1,0.7452289867870788,2025-07-12T19:33:23.000Z
TabICL 🗼,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,0,0.7485871223750371,2025-07-12T19:32:52.000Z
TabICL 🗼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,9,0.8207200121461385,2025-07-12T19:32:49.000Z
TabICL 🗼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,8,0.8184984957725369,2025-07-12T19:32:36.000Z
TabICL 🗼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,7,0.8140630493771656,2025-07-12T19:32:33.000Z
TabICL 🗼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,6,0.8038653953276241,2025-07-12T19:32:00.000Z
TabICL 🗼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,5,0.8152763324715996,2025-07-12T19:31:49.000Z
TabICL 🗼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,4,0.8180150603089466,2025-07-12T19:31:41.000Z
TabICL 🗼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,3,0.8145040329057234,2025-07-12T19:31:26.000Z
TabICL 🗼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,2,0.8142106710364073,2025-07-12T19:31:03.000Z
TabICL 🗼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,1,0.8141057995929981,2025-07-12T19:31:02.000Z
TabICL 🗼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,0,0.8103248358693848,2025-07-12T19:30:49.000Z
TabICL 🗼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,0.9554404300946596,2025-07-12T19:30:42.000Z
TabICL 🗼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,0.954750196096078,2025-07-12T19:30:29.000Z
TabICL 🗼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,0.9614812218492986,2025-07-12T19:30:23.000Z
TabICL 🗼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,0.951239043472224,2025-07-12T19:24:21.000Z
TabICL 🗼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,0.952552886112228,2025-07-12T19:24:17.000Z
