model,dataset_size,dataset,fold,test_score,Created
TabICL 🗼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8883436519009417,2025-10-13T22:25:39.000Z
TabICL 🗼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.877864492500872,2025-10-13T21:50:33.000Z
TabICL 🗼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.8441772758981514,2025-10-13T21:42:55.000Z
TabICL 🗼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8537430240669689,2025-10-13T21:12:06.000Z
TabICL 🗼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8817295953958841,2025-10-13T21:08:06.000Z
TabICL 🗼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.840200994070457,2025-10-13T21:04:06.000Z
TabICL 🗼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.8719000697593303,2025-10-13T20:52:52.000Z
TabICL 🗼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8426578304848273,2025-10-13T20:29:43.000Z
TabICL 🗼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8569366934077433,2025-10-13T20:29:39.000Z
TabICL 🗼,100000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.8739754098360657,2025-10-13T20:29:33.000Z
TabICL 🗼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,0.9628104078556028,2025-07-13T08:28:39.000Z
TabICL 🗼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,0.958031138241497,2025-07-13T07:47:49.000Z
TabICL 🗼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,0.9696179125502272,2025-07-13T07:47:39.000Z
TabICL 🗼,100000,MUL_FOOD_WINE_REVIEW,7,0.98508080473393,2025-07-13T07:45:11.000Z
TabICL 🗼,100000,MUL_FOOD_WINE_REVIEW,3,0.9883327072490554,2025-07-13T07:44:28.000Z
TabICL 🗼,100000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,9,0.7579882922319613,2025-07-13T01:12:31.000Z
TabICL 🗼,100000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,8,0.7909205580449798,2025-07-13T01:12:22.000Z
TabICL 🗼,100000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,7,0.7555322136098491,2025-07-13T01:08:50.000Z
TabICL 🗼,100000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,6,0.7772741436782996,2025-07-13T01:07:53.000Z
TabICL 🗼,100000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,5,0.7799268465721261,2025-07-13T01:05:31.000Z
TabICL 🗼,100000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,4,0.755782305885275,2025-07-13T01:05:29.000Z
TabICL 🗼,100000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,3,0.7536067905514563,2025-07-13T01:01:58.000Z
TabICL 🗼,100000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,2,0.7589788876125559,2025-07-13T01:01:07.000Z
TabICL 🗼,100000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,1,0.7667420967966342,2025-07-13T00:58:40.000Z
TabICL 🗼,100000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,0,0.7718025846318008,2025-07-13T00:58:32.000Z
TabICL 🗼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,9,0.8158959798067275,2025-07-13T00:57:32.000Z
TabICL 🗼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,8,0.8155184477815024,2025-07-13T00:57:29.000Z
TabICL 🗼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,7,0.814507849726349,2025-07-13T00:56:24.000Z
TabICL 🗼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,6,0.8006017720630982,2025-07-13T00:56:22.000Z
TabICL 🗼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,5,0.8103346359433962,2025-07-13T00:55:16.000Z
TabICL 🗼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,4,0.814826691959468,2025-07-13T00:55:14.000Z
TabICL 🗼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,3,0.8139452935372601,2025-07-13T00:54:14.000Z
TabICL 🗼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,2,0.8118630451134091,2025-07-13T00:54:11.000Z
TabICL 🗼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,1,0.8102344328198926,2025-07-13T00:53:11.000Z
TabICL 🗼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,0,0.8119251615346762,2025-07-13T00:52:08.000Z
TabICL 🗼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,0.9744482112367936,2025-07-13T00:44:42.000Z
TabICL 🗼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,0.9694078105873676,2025-07-13T00:43:25.000Z
TabICL 🗼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,0.9730143698251652,2025-07-13T00:35:53.000Z
TabICL 🗼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,0.9588779292378524,2025-07-13T00:33:50.000Z
TabICL 🗼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,0.981655961743836,2025-07-13T00:26:59.000Z
TabICL 🗼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,0.9676172309221628,2025-07-13T00:18:26.000Z
TabICL 🗼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,0.9749110980271776,2025-07-13T00:17:59.000Z
TabICL 🗼,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,9,0.9146726494433002,2025-07-13T00:17:02.000Z
TabICL 🗼,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,8,0.9056679719176056,2025-07-13T00:16:12.000Z
TabICL 🗼,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,7,0.9088904710986216,2025-07-13T00:16:10.000Z
TabICL 🗼,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,6,0.9029047061826172,2025-07-13T00:15:20.000Z
TabICL 🗼,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,5,0.9146166097009418,2025-07-13T00:15:18.000Z
TabICL 🗼,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,4,0.9152596084010346,2025-07-13T00:14:25.000Z
TabICL 🗼,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,3,0.9078586270635536,2025-07-13T00:14:22.000Z
TabICL 🗼,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,2,0.9110150619803176,2025-07-13T00:13:30.000Z
TabICL 🗼,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,1,0.9111290494099892,2025-07-13T00:13:28.000Z
TabICL 🗼,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,0,0.8952152006126811,2025-07-13T00:12:36.000Z
TabICL 🗼,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,9,0.8732382475959504,2025-07-12T23:59:21.000Z
TabICL 🗼,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,8,0.8708563086827155,2025-07-12T23:58:08.000Z
TabICL 🗼,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,7,0.872097479991304,2025-07-12T23:57:47.000Z
TabICL 🗼,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,6,0.8741420494445185,2025-07-12T23:56:39.000Z
TabICL 🗼,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,5,0.8740748515158779,2025-07-12T23:56:14.000Z
TabICL 🗼,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,4,0.8688377214113132,2025-07-12T23:55:10.000Z
TabICL 🗼,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,3,0.8786373641293592,2025-07-12T23:54:40.000Z
TabICL 🗼,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,2,0.8592284580518585,2025-07-12T23:53:37.000Z
