model,dataset_size,dataset,fold,test_score,Created
TabM Ⓜ️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,0,0.918937969924812,2025-10-08T09:49:58.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,1,0.917998120300752,2025-10-08T09:49:58.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,2,0.92531132518797,2025-10-08T09:49:56.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,3,0.9192757283834586,2025-10-08T09:49:56.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,4,0.8887746710526315,2025-10-08T09:52:07.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,5,0.9730086936090224,2025-10-08T09:52:07.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,6,0.9152226268796992,2025-10-08T09:52:07.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,7,0.9022703242481204,2025-10-08T09:52:07.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,8,0.9244449013157896,2025-10-08T09:52:45.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,9,0.923563792293233,2025-10-08T09:53:01.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,0,0.7544611672794117,2025-10-08T09:52:16.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,1,0.7344393382352942,2025-10-08T09:52:19.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,2,0.7493439797794117,2025-10-08T09:53:42.000Z
TabM Ⓜ️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,3,0.7374632352941176,2025-10-08T09:57:44.000Z
