model,dataset_size,dataset,fold,test_score,Created
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8250056739817385,2025-10-14T06:47:38.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.8490502627490005,2025-10-14T05:39:21.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.8163943155432183,2025-10-14T04:30:16.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8525419438188516,2025-10-14T03:23:02.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8288290647532255,2025-10-14T02:19:02.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.8706594039700414,2025-10-14T01:10:20.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.8343415562422528,2025-10-14T00:03:11.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8279779674924491,2025-10-13T22:58:32.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8272665374744671,2025-10-13T21:48:15.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.8275676949667417,2025-10-13T20:39:45.000Z
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,9,0.9611964061085416,2025-10-12T21:22:09.000Z
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,8,0.9589976818455956,2025-10-12T21:19:22.000Z
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,7,0.9521330546744166,2025-10-12T21:13:41.000Z
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,6,0.9486654072052336,2025-10-12T21:12:37.000Z
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,5,0.935190762709886,2025-10-12T21:11:12.000Z
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,4,0.9467016270997496,2025-10-12T21:09:41.000Z
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,3,0.9578935968023208,2025-10-12T20:55:05.000Z
