model,dataset_size,dataset,fold,test_score,Created
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8914108824555285,2025-10-14T15:40:19.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,5,0.9042813649673777,2025-10-14T15:36:14.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,3,0.9115046543873526,2025-10-14T15:33:06.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,9,0.9861641780829012,2025-10-14T15:21:49.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,8,0.9899800998381758,2025-10-14T15:08:16.000Z
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.880197070108127,2025-10-14T15:04:38.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,7,0.9912535253620276,2025-10-14T14:38:26.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,6,0.9855034040249364,2025-10-14T14:22:53.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,5,0.9916930090198138,2025-10-14T14:11:06.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,4,0.9913790112110252,2025-10-14T14:09:55.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,3,0.987794965850914,2025-10-14T13:49:48.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,2,0.9914746019894078,2025-10-14T13:36:10.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,1,0.9887697179734614,2025-10-14T13:29:29.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,0,0.9929152612674051,2025-10-14T13:24:28.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,9,0.9705478381660508,2025-10-14T13:21:48.000Z
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.8528383327520056,2025-10-14T13:21:41.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,8,0.999996642804717,2025-10-14T13:15:34.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,7,0.9728034198305094,2025-10-14T13:08:32.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,6,0.9999982783134792,2025-10-14T13:06:03.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,5,0.9718679149053472,2025-10-14T12:41:27.000Z
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8483650156958493,2025-10-14T12:34:47.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,4,0.969278881836771,2025-10-14T12:25:52.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,3,0.9989193515450676,2025-10-14T12:18:31.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,2,0.999995877593824,2025-10-14T12:15:23.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,1,0.9708519857450884,2025-10-14T12:11:45.000Z
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,0,0.9999959715207212,2025-10-14T12:09:13.000Z
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,9,0.8890662215501077,2025-10-14T12:01:06.000Z
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,8,0.8941518802546636,2025-10-14T11:59:43.000Z
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8746773630973143,2025-10-14T11:39:25.000Z
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,7,0.8983815871575971,2025-10-14T11:33:43.000Z
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,6,0.888473709422139,2025-10-14T11:22:01.000Z
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,5,0.8927155551125251,2025-10-14T11:07:12.000Z
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,4,0.8954738143252414,2025-10-14T11:02:37.000Z
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,3,0.8824149649478127,2025-10-14T10:56:07.000Z
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,2,0.8965520923593997,2025-10-14T10:51:35.000Z
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,1,0.8875093692433653,2025-10-14T10:50:28.000Z
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.8302929891873039,2025-10-14T10:43:04.000Z
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,0,0.907837250806528,2025-10-14T10:28:28.000Z
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.8691489361702128,2025-10-14T10:13:34.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,9,0.8901064789713499,2025-10-14T09:46:18.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,8,0.8822065202831991,2025-10-14T09:38:19.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,7,0.880084212174415,2025-10-14T09:30:19.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,6,0.8758468622943929,2025-10-14T09:15:01.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,5,0.8810466438787337,2025-10-14T09:10:21.000Z
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8450863271712591,2025-10-14T09:03:30.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,4,0.8885522860979869,2025-10-14T08:29:04.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,3,0.8719390898324433,2025-10-14T08:14:18.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,2,0.8938814803730063,2025-10-14T07:55:36.000Z
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8379403557725846,2025-10-14T06:58:02.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,1,0.8892513755378023,2025-10-14T06:56:03.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,0,0.8780100786096428,2025-10-14T06:42:41.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,9,0.8383707243763155,2025-10-14T06:26:17.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,8,0.8205544052193254,2025-10-14T05:56:08.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,7,0.8464638427959686,2025-10-14T05:23:30.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,6,0.8586375133685332,2025-10-14T05:10:09.000Z
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.8754490756888734,2025-10-14T02:18:40.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,5,0.7998374208390321,2025-10-14T02:04:36.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,4,0.8310900330294992,2025-10-14T01:58:38.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,3,0.8588582033399585,2025-10-14T01:49:35.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,2,0.8482798015886944,2025-10-14T01:14:23.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,1,0.8730328844275582,2025-10-14T01:04:59.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,0,0.8270285151303058,2025-10-14T00:58:27.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MUSEUMS_US_REVENUES,9,0.986937241554576,2025-10-14T00:50:02.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MUSEUMS_US_REVENUES,8,0.982935035835388,2025-10-14T00:46:28.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MUSEUMS_US_REVENUES,7,0.979478550173359,2025-10-14T00:37:42.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MUSEUMS_US_REVENUES,6,0.9943096698036192,2025-10-14T00:00:17.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MUSEUMS_US_REVENUES,5,0.9897522155011302,2025-10-13T23:54:05.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MUSEUMS_US_REVENUES,4,0.992758254345288,2025-10-13T23:42:49.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MUSEUMS_US_REVENUES,3,0.9919002502502844,2025-10-13T23:40:37.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MUSEUMS_US_REVENUES,2,0.9828907413753636,2025-10-13T23:38:31.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MUSEUMS_US_REVENUES,1,0.9832756146301792,2025-10-13T23:26:02.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MUSEUMS_US_REVENUES,0,0.9839609616872944,2025-10-13T22:41:19.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,8,0.9482628647610034,2025-10-13T22:31:03.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,9,0.9650217696714076,2025-10-13T22:30:49.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,7,0.965063101563756,2025-10-13T22:29:40.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,6,0.9666769702597056,2025-10-13T22:17:23.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,5,0.960149933199276,2025-10-13T22:14:11.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,4,0.9585752475759765,2025-10-13T21:23:37.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,3,0.957020049305127,2025-10-13T21:21:43.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,2,0.956179741071948,2025-10-13T21:21:15.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,1,0.9534497798635044,2025-10-13T21:13:00.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,0,0.9614912782389642,2025-10-13T21:07:35.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,9,0.980039730285434,2025-10-13T20:48:09.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,8,0.979937411745428,2025-10-13T20:10:18.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,7,0.9813953429219384,2025-10-13T20:10:10.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,6,0.9808907357633356,2025-10-13T19:53:53.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,5,0.9793101368288702,2025-10-13T19:50:17.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,4,0.979811249772744,2025-10-13T19:34:52.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,3,0.9787970056663328,2025-10-13T19:33:51.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,2,0.9824369964432582,2025-10-13T18:57:32.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,1,0.9813760529693898,2025-10-13T18:57:23.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,0,0.9828073592923168,2025-10-13T18:40:04.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_ANIME_PLANET_RATING,9,0.7568437147839611,2025-10-13T18:32:04.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_ANIME_PLANET_RATING,8,0.7759649176446564,2025-10-13T18:23:36.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_ANIME_PLANET_RATING,7,0.7598732593595,2025-10-13T18:13:25.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_ANIME_PLANET_RATING,6,0.7603097552255422,2025-10-13T17:47:02.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_ANIME_PLANET_RATING,5,0.7587399156366075,2025-10-13T17:44:59.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_ANIME_PLANET_RATING,4,0.7633796277427426,2025-10-13T17:23:07.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_ANIME_PLANET_RATING,3,0.7636099881220101,2025-10-13T17:16:50.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_ANIME_PLANET_RATING,2,0.7621957076043493,2025-10-13T16:58:49.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_ANIME_PLANET_RATING,1,0.7551556625713014,2025-10-13T16:58:12.000Z
TabM-Tuned 〽️,100000,REG_SOCIAL_ANIME_PLANET_RATING,0,0.7789311203223624,2025-10-13T16:40:59.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,9,0.934081659635874,2025-10-13T16:31:54.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,8,0.9327331775083696,2025-10-13T16:11:32.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,7,0.9310669319317804,2025-10-13T15:54:48.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,6,0.94139004508474,2025-10-13T15:35:07.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,5,0.9430065530354692,2025-10-13T15:32:34.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,4,0.9422171516168764,2025-10-13T15:30:35.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,3,0.9439687438470046,2025-10-13T15:15:13.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,2,0.93204573381216,2025-10-13T14:50:23.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,1,0.9302713547090742,2025-10-13T14:34:30.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,0,0.9323158208596646,2025-10-13T14:21:25.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,9,0.9061290053757394,2025-10-13T13:49:51.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,8,0.9087492933095828,2025-10-13T13:27:23.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,7,0.9323776651938936,2025-10-13T13:25:01.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,6,0.8913898737992686,2025-10-13T12:59:18.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,4,0.9019369151409008,2025-10-13T12:36:23.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,2,0.9022391113908428,2025-10-13T12:16:54.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,1,0.920653090967394,2025-10-13T12:08:08.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,0,0.9189353485527608,2025-10-13T11:33:08.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,9,0.8808934400069868,2025-10-13T11:22:39.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,8,0.8858980477671186,2025-10-13T11:03:02.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,7,0.8762789959166875,2025-10-13T10:33:26.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,6,0.8740931332234492,2025-10-13T10:10:35.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,5,0.8572412939238072,2025-10-13T10:06:55.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,4,0.8503886147814836,2025-10-13T09:55:54.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,3,0.8696455286469837,2025-10-13T09:46:47.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,2,0.8660687332802705,2025-10-13T09:26:54.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,1,0.8921561575980486,2025-10-13T09:25:04.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,0,0.8646327656443087,2025-10-13T09:23:04.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,9,0.969266856800806,2025-10-13T09:07:12.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,8,0.95632691006808,2025-10-13T08:47:45.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,6,0.9587180429627504,2025-10-13T08:30:23.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,7,0.9653000154541904,2025-10-13T08:30:06.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,5,0.9765144027659364,2025-10-13T08:30:01.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,4,0.976200366554654,2025-10-13T08:11:29.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,3,0.9849215104528212,2025-10-13T08:09:00.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,2,0.9728546140502888,2025-10-13T07:43:05.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,1,0.9911857747786,2025-10-13T07:35:33.000Z
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,0,0.9660923755470688,2025-10-13T07:23:20.000Z
TabM-Tuned 〽️,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,9,0.9465137279200304,2025-10-13T07:09:09.000Z
TabM-Tuned 〽️,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,8,0.9176065577168708,2025-10-13T07:08:56.000Z
TabM-Tuned 〽️,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,7,0.935797210757224,2025-10-13T06:57:03.000Z
TabM-Tuned 〽️,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,6,0.9461772806864016,2025-10-13T06:54:47.000Z
TabM-Tuned 〽️,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,5,0.9295347201019614,2025-10-13T06:51:34.000Z
TabM-Tuned 〽️,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,4,0.9349224662753808,2025-10-13T06:19:36.000Z
TabM-Tuned 〽️,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,3,0.9467334053231996,2025-10-13T05:55:53.000Z
