model,dataset_size,dataset,fold,test_score,Created
TabPFN-v2 🤯,10000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8147794130484121,2025-10-13T18:49:49.000Z
TabPFN-v2 🤯,10000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8019736727247333,2025-10-13T18:51:14.000Z
TabPFN-v2 🤯,10000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.8263237835856072,2025-10-13T18:52:10.000Z
TabPFN-v2 🤯,10000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.8508310200946245,2025-10-13T18:53:25.000Z
TabPFN-v2 🤯,10000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8414383980167252,2025-10-13T18:56:04.000Z
TabPFN-v2 🤯,10000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8276942684055238,2025-10-13T19:02:16.000Z
TabPFN-v2 🤯,10000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8321156095602228,2025-10-13T18:54:47.000Z
TabPFN-v2 🤯,10000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.8146790272176538,2025-10-13T18:58:20.000Z
TabPFN-v2 🤯,10000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.8397231096911609,2025-10-13T19:01:20.000Z
TabPFN-v2 🤯,10000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.7982855845947031,2025-10-13T18:46:47.000Z
TabPFN-v2 🤯,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,2,0.7534389117037094,2025-04-20T01:33:56.000Z
TabPFN-v2 🤯,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,5,0.8163058614985367,2025-04-22T02:10:33.000Z
TabPFN-v2 🤯,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,3,0.9553995306746604,2025-04-21T00:50:16.000Z
TabPFN-v2 🤯,10000,REG_FOOD_WINE_VIVINO_SPAIN,1,0.8479210159072598,2025-04-20T00:26:16.000Z
TabPFN-v2 🤯,10000,REG_SOCIAL_KOREAN_DRAMA,0,0.3755511319564645,2025-04-19T08:33:08.000Z
TabPFN-v2 🤯,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,9,0.9678893322521028,2025-04-22T21:01:57.000Z
TabPFN-v2 🤯,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,0,0.9402389000570164,2025-04-19T08:45:43.000Z
TabPFN-v2 🤯,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,2,0.9050755209448696,2025-04-20T01:51:56.000Z
TabPFN-v2 🤯,10000,REG_FOOD_COFFEE_REVIEW,7,0.9865794160963322,2025-04-22T17:37:49.000Z
TabPFN-v2 🤯,10000,REG_CONSUMER_AMERICAN_EAGLE_PRICES,6,0.9626954456954008,2025-04-22T12:47:13.000Z
TabPFN-v2 🤯,10000,REG_SOCIAL_SPOTIFY_POPULARITY,2,0.6001606676225972,2025-04-20T01:43:46.000Z
TabPFN-v2 🤯,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,1,0.7917209085860203,2025-04-20T00:21:24.000Z
TabPFN-v2 🤯,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,3,0.9869071059897832,2025-04-21T01:21:01.000Z
TabPFN-v2 🤯,10000,REG_SOCIAL_VIDEO_GAMES_SALES,6,0.8371078658695037,2025-04-22T12:59:44.000Z
TabPFN-v2 🤯,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,9,0.9181032175756216,2025-04-22T20:58:55.000Z
TabPFN-v2 🤯,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,8,0.9762399508864124,2025-04-22T19:53:00.000Z
TabPFN-v2 🤯,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,0,0.948155479919323,2025-04-22T22:48:31.000Z
TabPFN-v2 🤯,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,1,0.904201566771975,2025-04-19T08:53:59.000Z
TabPFN-v2 🤯,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,8,0.137894211882693,2025-04-22T20:00:34.000Z
TabPFN-v2 🤯,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,1,0.937309617345127,2025-04-20T00:16:46.000Z
TabPFN-v2 🤯,10000,MUL_FOOD_YELP_REVIEWS,1,0.8644195093324474,2025-04-20T00:39:36.000Z
TabPFN-v2 🤯,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,4,0.9369985807126316,2025-04-21T01:28:11.000Z
TabPFN-v2 🤯,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,6,0.9691725216032484,2025-04-22T13:25:35.000Z
TabPFN-v2 🤯,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,1,0.8221304862753024,2025-04-19T08:59:02.000Z
TabPFN-v2 🤯,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,5,0.950344392046926,2025-04-22T02:33:23.000Z
TabPFN-v2 🤯,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,2,0.8888324493912004,2025-04-20T00:57:28.000Z
TabPFN-v2 🤯,10000,REG_FOOD_ALCOHOL_WIKILIQ_PRICES,2,0.9441646581625828,2025-04-20T01:41:01.000Z
TabPFN-v2 🤯,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,3,0.9323373421976544,2025-04-21T00:14:28.000Z
TabPFN-v2 🤯,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,5,0.9144251616447266,2025-04-22T02:10:18.000Z
TabPFN-v2 🤯,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,1,0.819874588993645,2025-04-19T08:49:28.000Z
TabPFN-v2 🤯,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,5,0.9260327183088072,2025-04-22T02:11:07.000Z
TabPFN-v2 🤯,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,2,0.9999985376243044,2025-04-20T01:19:33.000Z
TabPFN-v2 🤯,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,0,0.9303461871925224,2025-04-19T08:17:52.000Z
TabPFN-v2 🤯,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,8,0.9019180255547606,2025-04-22T19:50:51.000Z
TabPFN-v2 🤯,10000,REG_FOOD_BEER_RATINGS,4,0.9407886270520692,2025-04-22T02:02:52.000Z
TabPFN-v2 🤯,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,5,0.7673279421598554,2025-04-22T02:36:44.000Z
TabPFN-v2 🤯,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,4,0.9026706404828694,2025-04-21T01:32:40.000Z
TabPFN-v2 🤯,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,3,0.931677066288011,2025-04-21T00:52:51.000Z
