model,dataset_size,dataset,fold,test_score,Created
TabSTAR ⭐,10000,MUL_HOUSES_MELBOURNE_AIRBNB,5,0.8426630814291769,2025-05-06T08:14:52.000Z
TabSTAR ⭐,10000,MUL_HOUSES_MELBOURNE_AIRBNB,4,0.8412670171330261,2025-05-06T08:14:46.000Z
TabSTAR ⭐,10000,MUL_HOUSES_MELBOURNE_AIRBNB,2,0.8400323946821325,2025-05-06T08:13:48.000Z
TabSTAR ⭐,10000,REG_FOOD_ZOMATO_RESTAURANTS,8,0.8205386400222778,2025-05-06T08:13:33.000Z
TabSTAR ⭐,10000,REG_FOOD_ALCOHOL_WIKILIQ_PRICES,4,0.964282963424921,2025-05-06T08:13:21.000Z
TabSTAR ⭐,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,6,0.9891674406826496,2025-05-06T08:12:40.000Z
TabSTAR ⭐,10000,REG_SOCIAL_KOREAN_DRAMA,9,0.4093644618988037,2025-05-06T05:59:25.000Z
TabSTAR ⭐,10000,REG_SOCIAL_KOREAN_DRAMA,8,0.4387223124504089,2025-05-06T05:58:26.000Z
TabSTAR ⭐,10000,REG_SOCIAL_KOREAN_DRAMA,7,0.3054966926574707,2025-05-06T05:58:07.000Z
TabSTAR ⭐,10000,REG_SOCIAL_KOREAN_DRAMA,6,0.4430937170982361,2025-05-06T05:57:27.000Z
TabSTAR ⭐,10000,REG_SOCIAL_KOREAN_DRAMA,5,0.4033065438270569,2025-05-06T05:57:10.000Z
TabSTAR ⭐,10000,REG_SOCIAL_KOREAN_DRAMA,4,0.5619629621505737,2025-05-06T05:56:53.000Z
TabSTAR ⭐,10000,REG_SOCIAL_KOREAN_DRAMA,3,0.3008244633674621,2025-05-06T05:56:13.000Z
TabSTAR ⭐,10000,REG_SOCIAL_KOREAN_DRAMA,2,0.4836975932121277,2025-05-06T05:55:15.000Z
TabSTAR ⭐,10000,REG_SOCIAL_KOREAN_DRAMA,1,0.3179026246070862,2025-05-06T05:54:21.000Z
TabSTAR ⭐,10000,REG_SOCIAL_KOREAN_DRAMA,0,0.3092736005783081,2025-05-06T05:53:31.000Z
TabSTAR ⭐,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,9,0.9449365474283696,2025-05-06T05:53:09.000Z
TabSTAR ⭐,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,8,0.899804949760437,2025-05-06T05:53:01.000Z
TabSTAR ⭐,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,7,0.927531361579895,2025-05-06T05:52:16.000Z
TabSTAR ⭐,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,6,0.9406404122710228,2025-05-06T05:51:05.000Z
TabSTAR ⭐,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,5,0.940672855824232,2025-05-06T05:50:02.000Z
TabSTAR ⭐,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,4,0.966790311038494,2025-05-06T05:49:25.000Z
TabSTAR ⭐,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,3,0.9507926143705844,2025-05-06T05:49:24.000Z
TabSTAR ⭐,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,2,0.933669850230217,2025-05-06T05:48:39.000Z
TabSTAR ⭐,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,1,0.9359953850507736,2025-05-06T05:46:50.000Z
TabSTAR ⭐,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,0,0.950258743017912,2025-05-06T05:45:00.000Z
TabSTAR ⭐,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,9,0.8217528760433197,2025-05-06T05:44:46.000Z
TabSTAR ⭐,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,8,0.794768288731575,2025-05-06T05:43:52.000Z
TabSTAR ⭐,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,7,0.8284325003623962,2025-05-06T05:41:30.000Z
TabSTAR ⭐,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,6,0.7682149857282639,2025-05-06T05:39:43.000Z
TabSTAR ⭐,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,5,0.8023643493652344,2025-05-06T05:39:01.000Z
TabSTAR ⭐,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,4,0.7619255632162094,2025-05-06T05:37:25.000Z
TabSTAR ⭐,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,3,0.7830808460712433,2025-05-06T05:35:54.000Z
TabSTAR ⭐,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,2,0.7556989938020706,2025-05-06T05:35:22.000Z
TabSTAR ⭐,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,1,0.7790429890155792,2025-05-06T05:30:39.000Z
TabSTAR ⭐,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,0,0.794988825917244,2025-05-06T05:28:47.000Z
TabSTAR ⭐,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,9,0.980413069948554,2025-05-06T05:28:15.000Z
TabSTAR ⭐,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,8,0.979903232306242,2025-05-06T05:26:06.000Z
TabSTAR ⭐,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,7,0.982293013483286,2025-05-06T05:26:05.000Z
TabSTAR ⭐,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,6,0.9808713793754578,2025-05-06T05:25:47.000Z
TabSTAR ⭐,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,5,0.9860098650678992,2025-05-06T05:23:08.000Z
TabSTAR ⭐,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,4,0.9851627331227064,2025-05-06T05:20:11.000Z
TabSTAR ⭐,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,3,0.9825812838971616,2025-05-06T05:19:42.000Z
