model,dataset_size,dataset,fold,test_score,Created
TabSTAR 🌟,100000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.9638842867108476,2025-10-13T21:54:32.000Z
TabSTAR 🌟,100000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.9639409661667248,2025-10-13T21:46:55.000Z
TabSTAR 🌟,100000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.9562630798744332,2025-10-13T21:16:05.000Z
TabSTAR 🌟,100000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.9699184687826996,2025-10-13T21:09:48.000Z
TabSTAR 🌟,100000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.9604072200906872,2025-10-13T21:04:08.000Z
TabSTAR 🌟,100000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.9532241890477852,2025-10-13T20:52:56.000Z
TabSTAR 🌟,100000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.9632259330310428,2025-10-13T20:51:35.000Z
TabSTAR 🌟,100000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.9552166899197768,2025-10-13T20:29:41.000Z
TabSTAR 🌟,100000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.9684164632019532,2025-10-13T20:29:38.000Z
TabSTAR 🌟,100000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.9608453958841996,2025-10-13T20:29:25.000Z
TabSTAR 🌟,100000,REG_SOCIAL_ANIME_PLANET_RATING,9,0.7221699357032776,2025-05-07T18:27:38.000Z
TabSTAR 🌟,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,4,0.9613186568021774,2025-05-05T06:25:37.000Z
TabSTAR 🌟,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,1,0.9159220000335878,2025-05-04T21:22:20.000Z
TabSTAR 🌟,100000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,3,0.8172024720519911,2025-05-06T14:39:48.000Z
TabSTAR 🌟,100000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,7,0.802739721887875,2025-05-06T14:56:23.000Z
TabSTAR 🌟,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,4,0.9999231348774628,2025-05-06T22:32:52.000Z
TabSTAR 🌟,100000,REG_SPORTS_FIFA22_WAGES,9,0.8755715265870094,2025-05-05T02:51:51.000Z
TabSTAR 🌟,100000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,7,0.7441182321293258,2025-05-06T09:50:12.000Z
TabSTAR 🌟,100000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,8,0.9532083364458056,2025-05-06T08:53:33.000Z
TabSTAR 🌟,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,4,0.9874490704387426,2025-05-07T23:46:36.000Z
TabSTAR 🌟,100000,REG_FOOD_ALCOHOL_WIKILIQ_PRICES,8,0.917210318148136,2025-05-07T02:29:08.000Z
TabSTAR 🌟,100000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,0,0.8028155976767618,2025-05-06T14:20:48.000Z
TabSTAR 🌟,100000,MUL_FOOD_WINE_REVIEW,1,0.9915776705490004,2025-05-04T21:47:30.000Z
TabSTAR 🌟,100000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,1,0.5802579820156097,2025-05-06T15:35:33.000Z
