model,dataset_size,dataset,fold,test_score,Created
XGBoost 🌲,10000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.799939768501545,2025-10-13T19:32:13.000Z
XGBoost 🌲,10000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.7921969657291503,2025-10-13T19:31:35.000Z
XGBoost 🌲,10000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.7782782520644564,2025-10-13T19:31:01.000Z
XGBoost 🌲,10000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8244382758078876,2025-10-13T19:30:24.000Z
XGBoost 🌲,10000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8042127132107754,2025-10-13T19:29:47.000Z
XGBoost 🌲,10000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.8381824054190891,2025-10-13T19:29:11.000Z
XGBoost 🌲,10000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.781525515459418,2025-10-13T19:28:21.000Z
XGBoost 🌲,10000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.7572626966252902,2025-10-13T19:27:48.000Z
XGBoost 🌲,10000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.7987613261404704,2025-10-13T19:27:08.000Z
XGBoost 🌲,10000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.7610009776706995,2025-10-13T19:26:13.000Z
XGBoost 🌲,10000,REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,0,0.9708613481846106,2025-04-20T07:27:22.000Z
XGBoost 🌲,10000,REG_SPORTS_FIFA22_WAGES,0,0.8949245740437329,2025-04-20T07:27:31.000Z
XGBoost 🌲,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,0,0.8709302396178544,2025-04-20T07:27:36.000Z
XGBoost 🌲,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,0,0.7922955168128628,2025-04-20T07:27:42.000Z
XGBoost 🌲,10000,MUL_FOOD_WINE_REVIEW,0,0.966036739982856,2025-04-20T07:28:12.000Z
XGBoost 🌲,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,0,0.944677672368716,2025-04-20T07:29:41.000Z
XGBoost 🌲,10000,REG_CONSUMER_AMERICAN_EAGLE_PRICES,0,0.9701578480717364,2025-04-20T07:31:18.000Z
XGBoost 🌲,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,0,0.8102524528783384,2025-04-20T07:31:40.000Z
XGBoost 🌲,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,0,0.8771001130491266,2025-04-20T07:33:35.000Z
XGBoost 🌲,10000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,0,0.4106036988915258,2025-04-20T07:34:28.000Z
XGBoost 🌲,10000,REG_CONSUMER_JC_PENNEY_PRODUCT_PRICE,0,0.944288759886799,2025-04-20T07:35:15.000Z
XGBoost 🌲,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,0,0.5148603706461715,2025-04-20T07:35:37.000Z
XGBoost 🌲,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,0,0.8011967770260352,2025-04-20T07:36:07.000Z
XGBoost 🌲,10000,MUL_HOUSES_MELBOURNE_AIRBNB,0,0.8147636500311265,2025-04-20T07:36:47.000Z
XGBoost 🌲,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,0,0.7811131957473421,2025-04-20T07:41:34.000Z
XGBoost 🌲,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,0,0.6967421312921204,2025-04-20T07:41:46.000Z
XGBoost 🌲,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,0,0.9250723910706036,2025-04-20T07:43:29.000Z
XGBoost 🌲,10000,REG_FOOD_RAMEN_RATINGS_2022,0,0.2551349259260577,2025-04-20T07:45:16.000Z
XGBoost 🌲,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,0,0.9737356800104522,2025-04-20T07:45:29.000Z
XGBoost 🌲,10000,REG_SOCIAL_VIDEO_GAMES_SALES,0,0.8376141949509625,2025-04-20T07:45:40.000Z
XGBoost 🌲,10000,REG_FOOD_COFFEE_REVIEW,0,0.987317129343344,2025-04-20T07:46:07.000Z
XGBoost 🌲,10000,REG_SOCIAL_ANIME_PLANET_RATING,0,0.6922438139380602,2025-04-20T07:46:35.000Z
XGBoost 🌲,10000,REG_FOOD_ZOMATO_RESTAURANTS,0,0.8313081162202316,2025-04-20T07:47:03.000Z
XGBoost 🌲,10000,REG_CONSUMER_BABIES_R_US_PRICES,0,0.8653067916319449,2025-04-20T07:48:44.000Z
XGBoost 🌲,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,0,0.9346790071375968,2025-04-20T07:49:06.000Z
XGBoost 🌲,10000,REG_SOCIAL_BOOKS_GOODREADS,0,0.8269022660956113,2025-04-20T07:49:18.000Z
XGBoost 🌲,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,0,0.410516849325542,2025-04-20T07:49:53.000Z
XGBoost 🌲,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,0,0.9324629357802487,2025-04-20T07:51:06.000Z
XGBoost 🌲,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,0,0.7984586351312715,2025-04-20T07:51:18.000Z
XGBoost 🌲,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,0,0.9098154496133454,2025-04-20T07:51:46.000Z
XGBoost 🌲,10000,REG_FOOD_WINE_VIVINO_SPAIN,0,0.8420016935369369,2025-04-20T07:52:14.000Z
XGBoost 🌲,10000,REG_FOOD_ALCOHOL_WIKILIQ_PRICES,0,0.9673520181350702,2025-04-20T07:52:22.000Z
XGBoost 🌲,10000,REG_SOCIAL_SPOTIFY_POPULARITY,0,0.6041248540201356,2025-04-20T07:52:44.000Z
XGBoost 🌲,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,0,0.9477832633337878,2025-04-20T07:53:13.000Z
XGBoost 🌲,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,0,0.9922794047928748,2025-04-20T07:53:36.000Z
XGBoost 🌲,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,0,0.9824905395053958,2025-04-20T07:53:52.000Z
XGBoost 🌲,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,0,0.884272566117216,2025-04-20T07:54:09.000Z
XGBoost 🌲,10000,REG_SOCIAL_KOREAN_DRAMA,0,0.445841242443157,2025-04-20T07:55:01.000Z
XGBoost 🌲,10000,MUL_FOOD_YELP_REVIEWS,0,0.8581328485485684,2025-04-20T07:55:18.000Z
XGBoost 🌲,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,0,0.9976821209268588,2025-04-20T07:55:41.000Z
XGBoost 🌲,10000,REG_SOCIAL_MOVIES_DATASET_REVENUE,0,0.9498728452845075,2025-04-20T07:57:46.000Z
XGBoost 🌲,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,0,0.257089072790934,2025-04-20T07:58:25.000Z
XGBoost 🌲,10000,REG_FOOD_BEER_RATINGS,0,0.9136337954490644,2025-04-20T07:58:35.000Z
XGBoost 🌲,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,0,0.7664461606117444,2025-04-20T07:58:49.000Z
XGBoost 🌲,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,0.9737653292773992,2025-04-20T07:59:06.000Z
XGBoost 🌲,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,0,0.9803122152348916,2025-04-20T08:10:01.000Z
XGBoost 🌲,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,0,0.9994784012817688,2025-04-20T08:10:34.000Z
XGBoost 🌲,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,0,0.9153367391898436,2025-04-20T08:11:59.000Z
XGBoost 🌲,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,0,0.7918287890324679,2025-04-20T08:12:06.000Z
