model,dataset_size,dataset,fold,test_score,Created
XGBoost-Tuned 🍃,10000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8195150054993977,2025-10-14T22:35:09.000Z
XGBoost-Tuned 🍃,10000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.8495260042947677,2025-10-14T22:05:13.000Z
XGBoost-Tuned 🍃,10000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.8104628223258088,2025-10-14T21:55:13.000Z
XGBoost-Tuned 🍃,10000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.8491462839784214,2025-10-14T21:53:05.000Z
XGBoost-Tuned 🍃,10000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8191963896017738,2025-10-14T21:19:07.000Z
XGBoost-Tuned 🍃,10000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.8719556905672237,2025-10-14T20:51:13.000Z
XGBoost-Tuned 🍃,10000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.8320283175334765,2025-10-14T20:47:43.000Z
XGBoost-Tuned 🍃,10000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8209727823460604,2025-10-14T19:53:09.000Z
XGBoost-Tuned 🍃,10000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8371916409155188,2025-10-14T19:41:26.000Z
XGBoost-Tuned 🍃,10000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.811091324918382,2025-10-14T19:40:50.000Z
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,0,0.8373978592771113,2025-04-29T23:58:41.000Z
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,7,0.8320052052060148,2025-04-29T14:32:30.000Z
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,4,0.8273507069669866,2025-05-01T06:59:33.000Z
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,9,0.829452375660123,2025-04-27T19:39:15.000Z
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,1,0.8383621320485629,2025-05-02T12:26:53.000Z
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,3,0.8337863598935504,2025-05-01T05:59:38.000Z
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,6,0.8216758492283693,2025-04-30T06:11:52.000Z
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,8,0.8298557650959257,2025-05-02T01:49:50.000Z
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,5,0.8426415752802052,2025-05-01T06:59:29.000Z
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,2,0.8295060449375228,2025-04-30T09:36:25.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,6,0.9701600198410424,2025-04-29T14:32:34.000Z
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,1,0.8258466192778933,2025-04-28T06:48:33.000Z
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,9,0.9998297993297456,2025-04-28T08:07:53.000Z
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,0,0.8480246462435964,2025-04-28T06:11:21.000Z
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,4,0.8281663970731152,2025-04-28T21:24:04.000Z
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,4,0.999795874391566,2025-04-27T23:18:32.000Z
XGBoost-Tuned 🍃,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,0,0.5096711814403534,2025-04-28T08:28:48.000Z
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,6,0.9998195541411404,2025-04-28T05:12:43.000Z
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,0.9730940258534836,2025-04-27T14:26:10.000Z
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,7,0.9995108383591288,2025-04-28T05:44:42.000Z
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,3,0.999729478120571,2025-04-27T22:24:14.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,8,0.9709516462443416,2025-05-01T05:59:36.000Z
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,5,0.999090468045324,2025-04-28T04:56:06.000Z
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,8,0.999770942114992,2025-04-28T06:25:44.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,9,0.9710297511797108,2025-04-28T11:10:08.000Z
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,8,0.8198713763624688,2025-04-28T22:38:32.000Z
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,1,0.9998871556672384,2025-04-27T22:03:20.000Z
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,1,0.8182973489614351,2025-04-28T20:53:33.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,7,0.8785175782240217,2025-04-30T01:49:29.000Z
XGBoost-Tuned 🍃,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,5,0.4922181367874145,2025-04-28T11:16:47.000Z
XGBoost-Tuned 🍃,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,6,0.5606419742107391,2025-04-28T11:21:50.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,6,0.8958768659422633,2025-05-01T05:59:35.000Z
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,0,0.9992932601599024,2025-04-27T22:00:07.000Z
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,0,0.8186441329732234,2025-04-28T20:42:49.000Z
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,0.969216183787783,2025-04-27T14:26:00.000Z
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,5,0.8257532837279126,2025-04-28T21:28:28.000Z
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,7,0.8177163122680356,2025-04-28T22:09:36.000Z
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,3,0.8580163608235729,2025-04-28T10:14:28.000Z
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,2,0.8198806910593609,2025-05-02T10:37:29.000Z
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,2,0.9982875431887804,2025-04-27T22:12:57.000Z
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,4,0.848840802032947,2025-05-02T07:13:42.000Z
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,0.9801423969091508,2025-04-27T14:25:55.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,4,0.974292745970812,2025-05-01T05:59:37.000Z
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,5,0.8202810121865862,2025-04-29T14:14:05.000Z
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,0.9827125545624876,2025-04-27T14:26:06.000Z
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,0.9767622707167024,2025-04-27T14:26:08.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,3,0.9776229857954978,2025-04-30T08:02:16.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,1,0.9751947395163396,2025-05-01T19:42:45.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,8,0.9000398292003116,2025-05-01T20:42:32.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,5,0.884284874813558,2025-04-30T05:37:43.000Z
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,3,0.8192295275222167,2025-04-30T06:23:53.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,3,0.8919340891194135,2025-05-02T07:52:56.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,2,0.974313013062774,2025-04-29T14:32:26.000Z
XGBoost-Tuned 🍃,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,4,0.9318214133381844,2025-04-27T23:09:00.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,0,0.9727653569784738,2025-05-01T12:09:42.000Z
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,9,0.8327946758661883,2025-04-30T04:29:22.000Z
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,7,0.8473687408989606,2025-04-29T20:35:03.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,0,0.8964551188892832,2025-05-02T07:13:10.000Z
XGBoost-Tuned 🍃,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,3,0.9424441009759904,2025-04-27T23:00:52.000Z
XGBoost-Tuned 🍃,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,2,0.5213895738124847,2025-04-28T11:01:32.000Z
XGBoost-Tuned 🍃,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,2,0.93987026065588,2025-04-27T22:49:55.000Z
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,6,0.8429443718807796,2025-04-30T04:49:55.000Z
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,0.9704781105092136,2025-04-27T14:26:10.000Z
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,0.9773520136404504,2025-04-27T14:26:10.000Z
XGBoost-Tuned 🍃,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,0,0.9353016838431358,2025-04-27T22:48:58.000Z
XGBoost-Tuned 🍃,10000,REG_FOOD_ZOMATO_RESTAURANTS,6,0.8598978817462921,2025-05-01T11:32:51.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,7,0.9726802738721954,2025-04-30T00:47:53.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,5,0.9751665624684408,2025-04-29T14:14:08.000Z
XGBoost-Tuned 🍃,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,3,0.5188839435577393,2025-04-28T11:07:21.000Z
XGBoost-Tuned 🍃,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,4,0.4672940373420715,2025-04-28T11:10:35.000Z
XGBoost-Tuned 🍃,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,5,0.9166613295674324,2025-04-27T23:23:24.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,2,0.9018432470199772,2025-05-01T11:57:34.000Z
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,0.972917521987798,2025-04-27T14:26:10.000Z
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,0.9782856205076568,2025-04-27T13:16:57.000Z
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,8,0.8142938160477143,2025-05-02T13:08:28.000Z
XGBoost-Tuned 🍃,10000,REG_FOOD_ZOMATO_RESTAURANTS,3,0.8491401970386505,2025-04-30T01:30:40.000Z
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,6,0.8104065052600576,2025-04-28T21:41:35.000Z
XGBoost-Tuned 🍃,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,7,0.91124115139246,2025-05-01T11:55:34.000Z
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,9,0.8274758222785711,2025-04-30T09:29:34.000Z
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,0.9760851669273358,2025-04-30T06:09:54.000Z
XGBoost-Tuned 🍃,10000,REG_SOCIAL_ANIME_PLANET_RATING,9,0.7343094646930695,2025-04-29T04:39:51.000Z
XGBoost-Tuned 🍃,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,1,0.9261770322918892,2025-04-27T22:48:37.000Z
XGBoost-Tuned 🍃,10000,REG_SOCIAL_ANIME_PLANET_RATING,8,0.7382639348506927,2025-04-29T04:09:30.000Z
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,9,0.8865565671551769,2025-04-30T05:36:09.000Z
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,2,0.829150563782642,2025-05-01T06:59:29.000Z
