model,dataset_size,dataset,fold,test_score,Created
XGBoost-Tuned 🍃,100000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.8820849319846529,2025-10-14T22:57:49.000Z
XGBoost-Tuned 🍃,100000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.8658397279386119,2025-10-14T22:22:24.000Z
XGBoost-Tuned 🍃,100000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.8352546215556331,2025-10-14T22:01:42.000Z
XGBoost-Tuned 🍃,100000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.853178409487269,2025-10-14T21:53:28.000Z
XGBoost-Tuned 🍃,100000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.8746817230554588,2025-10-14T21:20:11.000Z
XGBoost-Tuned 🍃,100000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.8302755493547262,2025-10-14T20:55:36.000Z
XGBoost-Tuned 🍃,100000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.8593869898848971,2025-10-14T20:50:51.000Z
XGBoost-Tuned 🍃,100000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.8349886641088247,2025-10-14T20:43:28.000Z
XGBoost-Tuned 🍃,100000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.8342954307638647,2025-10-14T19:41:48.000Z
XGBoost-Tuned 🍃,100000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.8761728287408441,2025-10-14T19:41:08.000Z
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,1,0.8541064772987333,2025-05-05T13:08:56.000Z
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,5,0.8362251294664554,2025-05-05T14:54:37.000Z
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,4,0.8476757770297743,2025-05-05T14:00:01.000Z
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,8,0.8435040059084331,2025-05-12T14:22:24.000Z
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,3,0.8363153426717105,2025-05-05T13:43:51.000Z
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,0,0.840051091569354,2025-05-05T12:19:21.000Z
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,6,0.8329397995952952,2025-05-05T15:04:36.000Z
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,9,0.8474077821468949,2025-05-12T14:48:17.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,8,0.9824618885262928,2025-05-05T16:16:54.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,9,0.982965747196022,2025-05-05T16:16:56.000Z
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,7,0.9997312097984832,2025-05-12T12:07:35.000Z
XGBoost-Tuned 🍃,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,0.9858357262041112,2025-05-05T20:07:29.000Z
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,6,0.9995527224382386,2025-05-12T12:07:35.000Z
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,3,0.9995988751761616,2025-05-12T12:15:35.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,6,0.980402497454732,2025-05-05T16:16:51.000Z
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,4,0.99973389544175,2025-05-12T12:15:33.000Z
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,2,0.9996065173763782,2025-05-12T12:15:34.000Z
XGBoost-Tuned 🍃,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,0.9795652114173188,2025-05-05T15:16:43.000Z
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,5,0.9995692296361084,2025-05-12T12:15:34.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,5,0.9849593850576313,2025-05-05T16:16:50.000Z
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,1,0.999685840215534,2025-05-12T12:15:35.000Z
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,8,0.99972225484089,2025-05-12T12:07:35.000Z
XGBoost-Tuned 🍃,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,0.9824925269241706,2025-05-04T21:04:11.000Z
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,2,0.848461234521209,2025-05-05T13:33:10.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,2,0.9844992907361892,2025-05-06T19:42:15.000Z
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,0,0.99976158287609,2025-05-12T12:15:31.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,3,0.9872148641963312,2025-05-06T19:43:01.000Z
XGBoost-Tuned 🍃,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,0.9894544183211512,2025-05-05T05:18:11.000Z
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,7,0.8337183082049799,2025-05-05T18:03:55.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,4,0.986385291321453,2025-05-06T19:46:55.000Z
XGBoost-Tuned 🍃,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,0.9807356393952116,2025-05-04T21:04:11.000Z
XGBoost-Tuned 🍃,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,0.9761869640615386,2025-05-05T11:18:47.000Z
XGBoost-Tuned 🍃,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,0.971649431153923,2025-05-05T06:09:17.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,7,0.9823130896958716,2025-05-05T16:16:56.000Z
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,9,0.9998544621194014,2025-05-12T12:07:35.000Z
XGBoost-Tuned 🍃,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,0.987024539550096,2025-05-04T21:04:13.000Z
XGBoost-Tuned 🍃,100000,REG_SOCIAL_SPOTIFY_POPULARITY,9,0.8697482049465179,2025-05-06T08:15:32.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,1,0.9845289401988184,2025-05-06T19:32:41.000Z
XGBoost-Tuned 🍃,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,0.9873110601642346,2025-05-05T13:56:38.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,0,0.9853145867460926,2025-05-06T19:12:20.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,4,0.8995590131907587,2025-05-05T05:46:02.000Z
XGBoost-Tuned 🍃,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,7,0.9020932059195456,2025-05-07T10:58:41.000Z
XGBoost-Tuned 🍃,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,7,0.8244015858875762,2025-05-05T19:25:37.000Z
XGBoost-Tuned 🍃,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,0.9818638227771628,2025-05-05T05:06:51.000Z
XGBoost-Tuned 🍃,100000,REG_SOCIAL_SPOTIFY_POPULARITY,4,0.8537038415670395,2025-05-06T08:15:59.000Z
XGBoost-Tuned 🍃,100000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,2,0.5612186789512634,2025-05-12T10:21:40.000Z
XGBoost-Tuned 🍃,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,8,0.820199957765789,2025-05-05T19:25:40.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,6,0.8964285962604223,2025-05-05T06:28:10.000Z
XGBoost-Tuned 🍃,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,8,0.9042544390945068,2025-05-05T06:32:30.000Z
XGBoost-Tuned 🍃,100000,REG_FOOD_ZOMATO_RESTAURANTS,8,0.9652264975011348,2025-05-04T17:39:40.000Z
