model,dataset_size,dataset,fold,test_score,Created
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,7,0.999987776170201,2025-04-25T10:59:10.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,6,0.9999854177021916,2025-04-25T09:14:17.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,2,0.999981331275194,2025-04-25T02:04:33.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,8,0.999976865379722,2025-04-25T12:49:29.000Z
Numerical-Full,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,6,0.9884130954742432,2025-04-25T09:54:03.000Z
Numerical-Full,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,9,0.98794908169657,2025-04-25T15:20:22.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,0,0.9879422960802912,2025-04-24T22:56:06.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,5,0.9874280411750078,2025-04-25T07:41:34.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,2,0.98674263805151,2025-04-25T02:24:33.000Z
Numerical-Full,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,0.9861642364143,2025-04-25T10:16:23.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,7,0.9854258010163904,2025-04-25T11:16:41.000Z
Numerical-Full,10000,MUL_FOOD_WINE_REVIEW,3,0.9849547835083832,2025-04-25T04:22:29.000Z
Numerical-Full,10000,MUL_FOOD_WINE_REVIEW,4,0.9848196565070092,2025-04-25T06:09:57.000Z
Numerical-Full,10000,MUL_FOOD_WINE_REVIEW,5,0.9848189861729992,2025-04-25T07:53:18.000Z
Numerical-Full,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,0.9839848694514094,2025-04-25T13:47:15.000Z
Numerical-Full,10000,MUL_FOOD_WINE_REVIEW,6,0.9839060631623217,2025-04-25T09:37:08.000Z
Numerical-Full,10000,MUL_FOOD_WINE_REVIEW,9,0.9834426326381392,2025-04-25T15:00:14.000Z
Numerical-Full,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,0.9832128858738118,2025-04-25T05:02:53.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,3,0.9831840302795172,2025-04-25T04:11:24.000Z
Numerical-Full,10000,MUL_FOOD_WINE_REVIEW,8,0.982919097506349,2025-04-25T13:11:51.000Z
Numerical-Full,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,0.9827001176210408,2025-04-25T01:18:46.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,8,0.9824973288923502,2025-04-25T13:01:30.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,4,0.9822968263179064,2025-04-25T06:01:54.000Z
Numerical-Full,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,0.9821792080253418,2025-04-24T21:57:51.000Z
Numerical-Full,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,0.9821675823728356,2025-04-25T03:09:41.000Z
Numerical-Full,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,0.9820301052299134,2025-04-24T23:37:18.000Z
Numerical-Full,10000,MUL_FOOD_WINE_REVIEW,2,0.9810361881619728,2025-04-25T02:34:23.000Z
Numerical-Full,10000,MUL_FOOD_WINE_REVIEW,7,0.9808350503179002,2025-04-25T11:27:01.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,1,0.98073660582304,2025-04-25T00:34:22.000Z
Numerical-Full,10000,MUL_FOOD_WINE_REVIEW,1,0.9802473207518364,2025-04-25T00:44:52.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,9,0.9792389832437038,2025-04-25T14:44:51.000Z
Numerical-Full,10000,MUL_FOOD_WINE_REVIEW,0,0.9787175741421184,2025-04-24T23:06:06.000Z
Numerical-Full,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,5,0.9779403582215308,2025-04-25T08:11:24.000Z
Numerical-Full,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,3,0.97623529471457,2025-04-25T04:40:50.000Z
Numerical-Full,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,0.9760025442261948,2025-04-25T12:01:29.000Z
Numerical-Full,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,0.9758895795482752,2025-04-25T06:46:42.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,0,0.9746305085718632,2025-04-24T22:37:58.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,6,0.974516486749053,2025-04-25T09:27:34.000Z
Numerical-Full,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,1,0.9733132496476172,2025-04-25T01:00:03.000Z
Numerical-Full,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,0.9712737814604891,2025-04-25T08:32:52.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,3,0.9710700381547211,2025-04-25T03:57:19.000Z
Numerical-Full,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,0,0.9710423909127712,2025-04-24T23:20:09.000Z
Numerical-Full,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,4,0.9704098366200924,2025-04-25T06:28:13.000Z
Numerical-Full,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,9,0.9681700095534324,2025-04-25T14:30:56.000Z
