model,dataset_size,dataset,fold,test_score,Created
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,7,0.9999879646566114,2025-04-29T15:54:45.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,6,0.9999839483807592,2025-04-29T13:44:44.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,2,0.9999815237988514,2025-04-29T05:39:05.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,8,0.999967053627188,2025-04-29T17:51:27.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,2,0.9887573476880788,2025-04-29T05:56:10.000Z
Numerical-None,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,6,0.9883745638653636,2025-04-29T14:35:27.000Z
Numerical-None,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,0.9852509563212823,2025-04-29T02:34:03.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,4,0.9842656776309012,2025-04-29T09:55:39.000Z
Numerical-None,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,0.9840882105941712,2025-04-29T04:42:04.000Z
Numerical-None,10000,MUL_FOOD_WINE_REVIEW,4,0.9840411688344743,2025-04-29T10:10:20.000Z
Numerical-None,10000,MUL_FOOD_WINE_REVIEW,5,0.9839643359982072,2025-04-29T12:07:52.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,5,0.9838897325098516,2025-04-29T11:57:01.000Z
Numerical-None,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,0.9836683091468766,2025-04-29T08:49:52.000Z
Numerical-None,10000,MUL_FOOD_WINE_REVIEW,1,0.9836394065899028,2025-04-29T03:57:41.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,0,0.9835781287401916,2025-04-29T01:30:22.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,8,0.9835295490920544,2025-04-29T18:06:05.000Z
Numerical-None,10000,MUL_FOOD_WINE_REVIEW,8,0.983508077441895,2025-04-29T18:19:58.000Z
Numerical-None,10000,MUL_FOOD_WINE_REVIEW,3,0.983489395690862,2025-04-29T08:13:26.000Z
Numerical-None,10000,MUL_FOOD_WINE_REVIEW,2,0.9830059284157282,2025-04-29T06:05:27.000Z
Numerical-None,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,0.9822319047227708,2025-04-29T15:01:32.000Z
Numerical-None,10000,MUL_FOOD_WINE_REVIEW,0,0.9821734631920656,2025-04-29T01:49:49.000Z
Numerical-None,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,0.9820829738688068,2025-04-29T06:53:14.000Z
Numerical-None,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,0.9819664738994742,2025-04-29T19:01:36.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,3,0.9817876312881708,2025-04-29T08:00:35.000Z
Numerical-None,10000,MUL_FOOD_WINE_REVIEW,7,0.9812729130331423,2025-04-29T16:23:00.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,7,0.9810744281858206,2025-04-29T16:13:12.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,6,0.9810716304928064,2025-04-29T14:02:30.000Z
Numerical-None,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,0.9809767113319036,2025-04-29T16:58:42.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,9,0.980477726086974,2025-04-29T20:12:16.000Z
Numerical-None,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,0.9791754630387672,2025-04-29T00:13:21.000Z
Numerical-None,10000,MUL_FOOD_WINE_REVIEW,9,0.979146116408012,2025-04-29T20:25:37.000Z
Numerical-None,10000,MUL_FOOD_WINE_REVIEW,6,0.9788713421538776,2025-04-29T14:13:56.000Z
Numerical-None,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,4,0.9787303935736418,2025-04-29T10:32:18.000Z
Numerical-None,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,5,0.9781322255730628,2025-04-29T12:30:27.000Z
Numerical-None,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,0.9775831656509444,2025-04-29T12:53:21.000Z
Numerical-None,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,0.9769934525341842,2025-04-29T10:54:20.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,1,0.9764063768088818,2025-04-29T03:46:25.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,0,0.9757490567862988,2025-04-29T01:07:58.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,3,0.9731370955705644,2025-04-29T07:40:49.000Z
Numerical-None,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,7,0.972495336085558,2025-04-29T16:39:53.000Z
Numerical-None,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,8,0.9719586819410324,2025-04-29T18:39:36.000Z
Numerical-None,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,9,0.971187399700284,2025-04-29T20:46:39.000Z
Numerical-None,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,1,0.9692552294582129,2025-04-29T04:19:42.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,9,0.966918058693409,2025-04-29T19:54:33.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,4,0.9645391404628754,2025-04-29T09:40:54.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,5,0.9636933840811251,2025-04-29T11:41:29.000Z
Numerical-None,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,0,0.9619603417813778,2025-04-29T02:13:55.000Z
Numerical-None,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,3,0.9599725045263768,2025-04-29T08:33:50.000Z
Numerical-None,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,1,0.9584801010787488,2025-04-29T03:29:03.000Z
Numerical-None,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,2,0.9540956057608128,2025-04-29T06:27:01.000Z
Numerical-None,10000,REG_CONSUMER_BABIES_R_US_PRICES,6,0.9480562806129456,2025-04-29T13:52:06.000Z
Numerical-None,10000,REG_CONSUMER_BABIES_R_US_PRICES,1,0.946803692728281,2025-04-29T03:36:18.000Z
Numerical-None,10000,REG_CONSUMER_BABIES_R_US_PRICES,7,0.9432753659784794,2025-04-29T16:04:35.000Z
Numerical-None,10000,REG_CONSUMER_BABIES_R_US_PRICES,3,0.939985815435648,2025-04-29T07:48:18.000Z
Numerical-None,10000,REG_CONSUMER_BABIES_R_US_PRICES,2,0.9388581477105618,2025-04-29T05:47:19.000Z
Numerical-None,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,3,0.9384344294667244,2025-04-29T07:23:22.000Z
Numerical-None,10000,REG_CONSUMER_BABIES_R_US_PRICES,0,0.9377059265971184,2025-04-29T01:17:43.000Z
Numerical-None,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,7,0.9294384562479876,2025-04-29T16:32:45.000Z
Numerical-None,10000,REG_CONSUMER_BABIES_R_US_PRICES,9,0.924427092075348,2025-04-29T20:00:57.000Z
Numerical-None,10000,REG_CONSUMER_BABIES_R_US_PRICES,5,0.9236783757805824,2025-04-29T11:48:52.000Z
Numerical-None,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,5,0.9236750081181526,2025-04-29T11:25:20.000Z
Numerical-None,10000,REG_CONSUMER_BABIES_R_US_PRICES,4,0.9236549139022828,2025-04-29T09:46:23.000Z
