model,dataset_size,dataset,fold,test_score,Created
Numerical-Range,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,8,0.9999782464274176,2025-04-29T21:12:39.000Z
Numerical-Range,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,6,0.9999749197904748,2025-04-29T16:45:59.000Z
Numerical-Range,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,7,0.9999707338429288,2025-04-29T18:49:25.000Z
Numerical-Range,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,2,0.9999650661884516,2025-04-29T07:32:36.000Z
Numerical-Range,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,0,0.9889084240421652,2025-04-29T03:11:21.000Z
Numerical-Range,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,5,0.9879211811348796,2025-04-29T14:43:44.000Z
Numerical-Range,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,2,0.9871893981471658,2025-04-29T07:55:17.000Z
Numerical-Range,10000,MUL_FOOD_WINE_REVIEW,3,0.9866465158918292,2025-04-29T10:23:27.000Z
Numerical-Range,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,9,0.985766944475472,2025-04-30T00:18:28.000Z
Numerical-Range,10000,MUL_FOOD_WINE_REVIEW,5,0.9856739043491162,2025-04-29T14:57:01.000Z
Numerical-Range,10000,MUL_FOOD_WINE_REVIEW,4,0.9848321424365036,2025-04-29T12:37:43.000Z
Numerical-Range,10000,MUL_FOOD_WINE_REVIEW,2,0.9839612768286498,2025-04-29T08:08:32.000Z
Numerical-Range,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,6,0.9837501291185616,2025-04-29T17:37:09.000Z
Numerical-Range,10000,MUL_FOOD_WINE_REVIEW,8,0.9837158728425012,2025-04-29T21:43:14.000Z
Numerical-Range,10000,MUL_FOOD_WINE_REVIEW,1,0.983612670800693,2025-04-29T05:46:30.000Z
Numerical-Range,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,8,0.9833514224737884,2025-04-29T21:30:46.000Z
Numerical-Range,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,0.9831473052563912,2025-04-29T04:15:30.000Z
Numerical-Range,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,0.9831021066311256,2025-04-29T11:12:33.000Z
Numerical-Range,10000,MUL_FOOD_WINE_REVIEW,9,0.983033237677222,2025-04-29T23:55:43.000Z
Numerical-Range,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,7,0.9827514607459308,2025-04-29T19:04:30.000Z
Numerical-Range,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,3,0.9826902858912944,2025-04-29T10:09:55.000Z
Numerical-Range,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,4,0.9825651962310076,2025-04-29T12:21:52.000Z
Numerical-Range,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,0.9823134812422448,2025-04-29T22:25:07.000Z
