model,dataset_size,dataset,fold,test_score,Created
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,7,0.9999712400203862,2025-05-10T07:34:23.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,6,0.9999592876447424,2025-05-10T02:44:30.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,8,0.999870053929044,2025-05-10T12:03:58.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,2,0.999777708260808,2025-05-09T10:01:07.000Z
Scale-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,6,0.9899966847151518,2025-05-10T04:38:18.000Z
Scale-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,0.9865017847845714,2025-05-09T15:59:47.000Z
Scale-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,0.9855626698349328,2025-05-10T14:29:44.000Z
Scale-0,10000,MUL_FOOD_WINE_REVIEW,5,0.9852759828654546,2025-05-09T22:45:35.000Z
Scale-0,10000,MUL_FOOD_WINE_REVIEW,3,0.9852174882864908,2025-05-09T14:28:52.000Z
Scale-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,0.9847842438923252,2025-05-10T05:45:21.000Z
Scale-0,10000,MUL_FOOD_WINE_REVIEW,4,0.9845970676973412,2025-05-09T18:49:31.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,4,0.984302330762148,2025-05-09T18:23:22.000Z
Scale-0,10000,MUL_FOOD_WINE_REVIEW,6,0.9839089574341234,2025-05-10T03:49:21.000Z
Scale-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,0.983662679828012,2025-05-08T23:44:11.000Z
Scale-0,10000,MUL_FOOD_WINE_REVIEW,8,0.9832615624714612,2025-05-10T12:56:04.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,5,0.9831696338951588,2025-05-09T22:25:01.000Z
Scale-0,10000,MUL_FOOD_WINE_REVIEW,1,0.982659182512299,2025-05-09T06:40:27.000Z
Scale-0,10000,MUL_FOOD_WINE_REVIEW,2,0.9819950751342592,2025-05-09T10:41:47.000Z
Scale-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,0.9819333831931616,2025-05-09T03:55:00.000Z
Scale-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,8,0.9815095756202936,2025-05-10T13:47:38.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,2,0.981253882870078,2025-05-09T10:26:00.000Z
Scale-0,10000,MUL_FOOD_WINE_REVIEW,7,0.9811465029062916,2025-05-10T08:26:45.000Z
Scale-0,10000,MUL_FOOD_WINE_REVIEW,9,0.9797628431211572,2025-05-10T17:19:19.000Z
Scale-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,0.979678455768326,2025-05-09T12:03:22.000Z
Scale-0,10000,MUL_FOOD_WINE_REVIEW,0,0.979354571875965,2025-05-09T02:27:36.000Z
Scale-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,0.9782773537505484,2025-05-09T08:10:12.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,7,0.9781980197876692,2025-05-10T08:11:46.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,6,0.977827899158001,2025-05-10T03:16:16.000Z
Scale-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,9,0.9778234139084816,2025-05-10T18:32:08.000Z
Scale-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,1,0.9775151740759612,2025-05-09T07:19:12.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,0,0.9769106581807137,2025-05-09T02:12:14.000Z
Scale-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,0.9763658459569976,2025-05-10T10:13:20.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,9,0.9752636775374413,2025-05-10T16:50:47.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,8,0.974161548539996,2025-05-10T12:29:54.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,3,0.9739788621664048,2025-05-09T14:11:44.000Z
Scale-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,0.973660102804801,2025-05-10T00:45:14.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,1,0.9692797027528286,2025-05-09T06:23:57.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,3,0.9654344841837884,2025-05-09T13:42:04.000Z
Scale-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,0.9651965203505962,2025-05-09T20:11:23.000Z
Scale-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,5,0.965192474424839,2025-05-09T23:48:00.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,0,0.9650369994342328,2025-05-09T01:34:23.000Z
Scale-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,7,0.9647584445774556,2025-05-10T09:27:27.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,5,0.953953467309475,2025-05-09T21:51:30.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,1,0.9519568420946598,2025-05-09T05:41:35.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,9,0.9489247240126132,2025-05-10T16:23:29.000Z
Scale-0,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,5,0.94514424726367,2025-05-09T21:07:14.000Z
Scale-0,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,4,0.9369822442531586,2025-05-09T17:55:47.000Z
Scale-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,4,0.9318867027759552,2025-05-09T19:31:21.000Z
Scale-0,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,7,0.9284140218103214,2025-05-10T09:04:38.000Z
Scale-0,10000,REG_CONSUMER_BABIES_R_US_PRICES,1,0.9265157729387284,2025-05-09T05:54:47.000Z
Scale-0,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,9,0.9227485449524548,2025-05-10T18:00:51.000Z
Scale-0,10000,REG_CONSUMER_BABIES_R_US_PRICES,2,0.9184954911470412,2025-05-09T10:08:22.000Z
Scale-0,10000,REG_CONSUMER_BABIES_R_US_PRICES,7,0.9177959486842155,2025-05-10T07:48:52.000Z
Scale-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,9,0.915426993668602,2025-05-10T15:46:11.000Z
Scale-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,1,0.9140711757110204,2025-05-09T05:07:00.000Z
Scale-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,2,0.9136780276894568,2025-05-09T11:29:03.000Z
Scale-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,5,0.9134875319936864,2025-05-09T21:10:25.000Z
Scale-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,2,0.9128458698593588,2025-05-09T09:23:49.000Z
Scale-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,4,0.9116304755498444,2025-05-09T17:16:13.000Z
Scale-0,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,8,0.9110698610565758,2025-05-10T13:33:07.000Z
Scale-0,10000,REG_CONSUMER_BABIES_R_US_PRICES,0,0.9108536839485168,2025-05-09T01:45:10.000Z
Scale-0,10000,REG_CONSUMER_BABIES_R_US_PRICES,6,0.910531498491764,2025-05-10T02:55:18.000Z
Scale-0,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,4,0.9100528046126872,2025-05-09T19:21:29.000Z
Scale-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,3,0.9077420919086928,2025-05-09T13:03:16.000Z
Scale-0,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,3,0.9066908553337548,2025-05-09T14:58:22.000Z
Scale-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,8,0.905894000232318,2025-05-10T11:24:33.000Z
Scale-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,6,0.90416424669288,2025-05-10T02:00:49.000Z
Scale-0,10000,REG_SPORTS_FIFA22_WAGES,0,0.9040393158793448,2025-05-08T23:26:48.000Z
Scale-0,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,1,0.9040342288147304,2025-05-09T07:11:17.000Z
Scale-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,3,0.903668500483036,2025-05-09T15:28:59.000Z
Scale-0,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,5,0.9029038958162492,2025-05-09T23:20:51.000Z
Scale-0,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,3,0.901877798140049,2025-05-09T13:01:01.000Z
Scale-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,7,0.8993497394361694,2025-05-10T06:57:49.000Z
Scale-0,10000,REG_SPORTS_FIFA22_WAGES,7,0.8979735001921654,2025-05-10T05:19:53.000Z
Scale-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,0,0.8973914739869665,2025-05-09T00:55:01.000Z
Scale-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,0,0.8973611295223236,2025-05-09T03:19:54.000Z
Scale-0,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,2,0.8968246824142911,2025-05-09T11:21:50.000Z
Scale-0,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,0,0.8965747362826717,2025-05-09T02:51:06.000Z
Scale-0,10000,REG_SPORTS_FIFA22_WAGES,2,0.8927857726812363,2025-05-09T07:56:23.000Z
Scale-0,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,2,0.8898720814658609,2025-05-09T08:41:49.000Z
Scale-0,10000,REG_SPORTS_FIFA22_WAGES,6,0.8880849406123161,2025-05-10T00:22:19.000Z
Scale-0,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,6,0.887453879899914,2025-05-10T04:30:50.000Z
