model,dataset_size,dataset,fold,test_score,Created
Unfreeze-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,0.9770848390020016,2025-05-02T23:51:30.000Z
Unfreeze-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,0.9742746442507596,2025-05-02T22:17:42.000Z
Unfreeze-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,0.9676406826044778,2025-05-02T20:31:23.000Z
Unfreeze-0,10000,MUL_FOOD_WINE_REVIEW,8,0.9429555374323524,2025-05-02T18:53:19.000Z
Unfreeze-0,10000,MUL_FOOD_WINE_REVIEW,9,0.9414983992769006,2025-05-02T19:46:03.000Z
Unfreeze-0,10000,MUL_FOOD_WINE_REVIEW,3,0.9470875418093084,2025-05-02T15:30:50.000Z
Unfreeze-0,10000,MUL_FOOD_WINE_REVIEW,5,0.9458004061792724,2025-05-02T16:50:46.000Z
Unfreeze-0,10000,MUL_FOOD_WINE_REVIEW,4,0.948246037266944,2025-05-02T16:08:47.000Z
Unfreeze-0,10000,MUL_FOOD_WINE_REVIEW,1,0.9458894885263086,2025-05-02T14:49:40.000Z
Unfreeze-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,0.953775379323374,2025-05-02T23:10:20.000Z
Unfreeze-0,10000,MUL_FOOD_WINE_REVIEW,6,0.9450140514662416,2025-05-02T17:33:48.000Z
Unfreeze-0,10000,MUL_FOOD_WINE_REVIEW,7,0.9400622156647772,2025-05-02T18:14:06.000Z
Unfreeze-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,0.9581108831218984,2025-05-01T23:47:16.000Z
Unfreeze-0,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,0,0.8371802107879773,2025-05-01T16:06:26.000Z
Unfreeze-0,10000,MUL_FOOD_WINE_REVIEW,2,0.9468575991830536,2025-05-01T23:19:11.000Z
Unfreeze-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,0.9274816807025044,2025-05-02T23:26:26.000Z
Unfreeze-0,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,8,0.8391418605256913,2025-05-01T17:08:59.000Z
Unfreeze-0,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,6,0.82702202670751,2025-05-01T16:53:35.000Z
Unfreeze-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,0.9358517816056112,2025-05-03T00:53:13.000Z
Unfreeze-0,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,3,0.8293294194787105,2025-05-01T16:30:04.000Z
Unfreeze-0,10000,MUL_FOOD_WINE_REVIEW,0,0.9397000558606636,2025-05-01T23:17:59.000Z
Unfreeze-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,0.9356762067283488,2025-05-02T21:54:52.000Z
Unfreeze-0,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,9,0.7875422838970348,2025-05-02T10:51:47.000Z
Unfreeze-0,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,1,0.8404841258442761,2025-05-01T16:08:16.000Z
Unfreeze-0,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,7,0.8171678365383114,2025-05-01T16:56:07.000Z
Unfreeze-0,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,5,0.80725393674459,2025-05-01T16:47:42.000Z
Unfreeze-0,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,5,0.6889812218071265,2025-05-01T19:25:14.000Z
Unfreeze-0,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,1,0.6734829747527536,2025-05-01T18:58:51.000Z
Unfreeze-0,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,9,0.8155497342316439,2025-05-01T17:17:51.000Z
Unfreeze-0,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,0,0.4144960045814514,2025-05-01T20:01:10.000Z
Unfreeze-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,0.9332317499818266,2025-05-02T21:25:57.000Z
Unfreeze-0,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,1,0.784438905260686,2025-05-02T09:37:37.000Z
Unfreeze-0,10000,REG_SOCIAL_BOOKS_GOODREADS,6,0.8009446114301682,2025-05-01T17:52:26.000Z
Unfreeze-0,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,2,0.8268991147280765,2025-05-01T16:09:57.000Z
Unfreeze-0,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,3,0.6779501402241517,2025-05-01T19:13:30.000Z
Unfreeze-0,10000,REG_SOCIAL_ANIME_PLANET_RATING,2,0.694723516702652,2025-05-01T14:23:25.000Z
Unfreeze-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,5,0.968590535223484,2025-05-01T18:35:51.000Z
Unfreeze-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,4,0.8784428957453552,2025-05-01T22:12:11.000Z
Unfreeze-0,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,5,0.7909811166170337,2025-05-02T10:12:17.000Z
Unfreeze-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,1,0.9643697030842304,2025-05-01T18:17:44.000Z
Unfreeze-0,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,9,0.4450677633285522,2025-05-01T20:56:03.000Z
Unfreeze-0,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,7,0.7777329008863253,2025-05-02T13:49:54.000Z
Unfreeze-0,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,4,0.6650034093038926,2025-05-01T19:21:09.000Z
Unfreeze-0,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,0.9271783101984532,2025-05-03T00:37:00.000Z
Unfreeze-0,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,1,0.4440730810165405,2025-05-01T20:07:24.000Z
Unfreeze-0,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,0,0.6669529792026714,2025-05-01T18:54:22.000Z
Unfreeze-0,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,6,0.6495948505138103,2025-05-01T19:33:02.000Z
Unfreeze-0,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,4,0.7666179050686361,2025-05-01T16:33:09.000Z
Unfreeze-0,10000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,1,0.4020410180091858,2025-05-01T21:07:32.000Z
Unfreeze-0,10000,REG_SOCIAL_ANIME_PLANET_RATING,9,0.665273904800415,2025-05-01T15:11:47.000Z
Unfreeze-0,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,7,0.3454214334487915,2025-05-01T20:43:25.000Z
Unfreeze-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,6,0.8789749943221933,2025-05-01T22:17:54.000Z
Unfreeze-0,10000,REG_SOCIAL_ANIME_PLANET_RATING,1,0.67152339220047,2025-05-01T14:22:44.000Z
Unfreeze-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,9,0.9839823953807354,2025-05-01T18:49:25.000Z
Unfreeze-0,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,4,0.7876459163408475,2025-05-02T09:58:12.000Z
Unfreeze-0,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,6,0.7680053779474935,2025-05-02T10:30:00.000Z
Unfreeze-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,7,0.8765309823780395,2025-05-01T22:25:31.000Z
Unfreeze-0,10000,REG_SOCIAL_ANIME_PLANET_RATING,4,0.6726548075675964,2025-05-01T14:42:04.000Z
Unfreeze-0,10000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,7,0.3774784207344055,2025-05-01T21:40:42.000Z
Unfreeze-0,10000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,6,0.3805504441261291,2025-05-01T21:33:59.000Z
Unfreeze-0,10000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,0,0.3418611884117126,2025-05-01T21:06:12.000Z
Unfreeze-0,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,8,0.6641582698903848,2025-05-01T19:47:59.000Z
Unfreeze-0,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,8,0.7770615863765885,2025-05-02T14:06:40.000Z
Unfreeze-0,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,4,0.7762586230883651,2025-05-02T13:28:48.000Z
Unfreeze-0,10000,REG_SOCIAL_ANIME_PLANET_RATING,0,0.6767469942569733,2025-05-01T14:21:22.000Z
Unfreeze-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,0,0.868856513743957,2025-05-01T21:54:10.000Z
Unfreeze-0,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,2,0.8865377062511947,2025-05-01T22:05:28.000Z
Unfreeze-0,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,3,0.974917633458972,2025-05-01T18:28:21.000Z
Unfreeze-0,10000,REG_SOCIAL_ANIME_PLANET_RATING,5,0.6839375793933868,2025-05-01T14:49:03.000Z
Unfreeze-0,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,8,0.3695700764656067,2025-05-01T20:55:26.000Z
Unfreeze-0,10000,REG_SOCIAL_ANIME_PLANET_RATING,3,0.670744389295578,2025-05-01T14:36:59.000Z
Unfreeze-0,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,0,0.968549270182848,2025-05-03T02:24:19.000Z
Unfreeze-0,10000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,5,0.3377107977867126,2025-05-01T21:28:57.000Z
Unfreeze-0,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,7,0.6406881159600266,2025-05-01T19:44:56.000Z
Unfreeze-0,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,5,0.370175302028656,2025-05-01T20:33:22.000Z
Unfreeze-0,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,3,0.7761570030685477,2025-05-02T09:47:00.000Z
Unfreeze-0,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,3,0.7759293514448435,2025-05-02T13:17:35.000Z
Unfreeze-0,10000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,4,0.3940274119377136,2025-05-01T21:22:52.000Z
Unfreeze-0,10000,REG_CONSUMER_BOOK_PRICE_PREDICTION,2,0.4459881782531738,2025-05-01T20:15:54.000Z
Unfreeze-0,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,9,0.6665925013711955,2025-05-01T19:56:33.000Z
Unfreeze-0,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,0,0.7742386959572399,2025-05-02T12:41:13.000Z
Unfreeze-0,10000,REG_SOCIAL_ANIME_PLANET_RATING,7,0.6693271696567535,2025-05-01T15:01:12.000Z
