dataset,fold,model,cpu_cores,cpu_name,gpu_type,gpu_total_memory_gb,inference_peak_cpu_gb,inference_peak_gpu_gb,inference_wall_time_s,m_features,n_test,n_train,system_ram_gb,timestamp,train_examples,train_peak_cpu_gb,train_peak_gpu_gb,train_wall_time_s
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,6,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3224372863769531,0.6513671875,0.5108003616333008,12,803,7232,1007.6727294921876,2025-08-02 07:14:24,10000,1.3213958740234375,0.6513671875,7.088369131088257
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,7,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3203964233398438,0.6513671875,0.5107688903808594,12,803,7232,1007.6727294921876,2025-08-02 07:14:25,10000,1.3203353881835938,0.6513671875,7.56270432472229
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,9,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3204727172851562,0.6513671875,0.5130922794342041,12,803,7232,1007.6727294921876,2025-08-02 07:14:25,10000,1.3177642822265625,0.6513671875,7.540966510772705
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,8,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3194198608398438,0.6513671875,0.5107529163360596,12,803,7232,1007.6727294921876,2025-08-02 07:14:24,10000,1.3184127807617188,0.6513671875,7.081879138946533
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,5,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3182525634765625,0.6513671875,0.510568380355835,12,803,7232,1007.672779083252,2025-08-02 07:13:20,10000,1.318195343017578,0.6513671875,7.102886438369751
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,4,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3199996948242188,0.6513671875,0.5124742984771729,12,803,7232,1007.672779083252,2025-08-02 07:13:20,10000,1.3199424743652344,0.6513671875,7.6698362827301025
REG_TRANSPORTATION_USED_CAR_PAKISTAN,9,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3817787170410156,0.7900390625,1.0015528202056885,9,2000,10000,1007.672779083252,2025-08-02 07:10:49,10000,1.3815956115722656,0.7900390625,13.072851181030272
REG_TRANSPORTATION_USED_CAR_PAKISTAN,8,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3778114318847656,0.7900390625,0.5061190128326416,9,2000,10000,1007.672779083252,2025-08-02 07:10:42,10000,1.3778152465820312,0.7900390625,11.134894847869871
REG_TRANSPORTATION_USED_CAR_PAKISTAN,6,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.38055419921875,0.7900390625,0.5084269046783447,9,2000,10000,1007.672779083252,2025-08-02 07:10:33,10000,1.380157470703125,0.7900390625,13.558283567428589
REG_TRANSPORTATION_USED_CAR_PAKISTAN,7,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3797760009765625,0.7900390625,0.5156378746032715,9,2000,10000,1007.672779083252,2025-08-02 07:10:31,10000,1.378936767578125,0.7900390625,10.5543532371521
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,1,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3219490051269531,0.6513671875,0.510817289352417,12,803,7232,1007.6727294921876,2025-08-02 07:10:30,10000,1.3186187744140625,0.6513671875,12.612762689590454
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,3,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3283615112304688,0.6513671875,0.5127873420715332,12,803,7232,1007.6727294921876,2025-08-02 07:10:26,10000,1.3283042907714844,0.6513671875,8.024263143539429
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,2,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3202133178710938,0.6513671875,0.5125796794891357,12,803,7232,1007.6727294921876,2025-08-02 07:10:24,10000,1.3201560974121094,0.6513671875,7.091888189315796
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,0,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3242454528808594,0.6513671875,0.5198383331298828,12,803,7232,1007.6727294921876,2025-08-02 07:10:25,10000,1.3206672668457031,0.6513671875,7.092540502548218
REG_TRANSPORTATION_USED_CAR_PAKISTAN,3,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3812026977539062,0.7900390625,0.5142159461975098,9,2000,10000,1007.6727294921876,2025-08-02 07:06:21,10000,1.381145477294922,0.7900390625,10.538572072982788
REG_TRANSPORTATION_USED_CAR_PAKISTAN,4,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3662605285644531,0.7900390625,1.0064363479614258,9,2000,10000,1007.6727294921876,2025-08-02 07:06:22,10000,1.3652915954589844,0.7900390625,10.56175684928894
REG_TRANSPORTATION_USED_CAR_PAKISTAN,5,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3754425048828125,0.7900390625,0.5152504444122314,9,2000,10000,1007.6727294921876,2025-08-02 07:06:21,10000,1.3729133605957031,0.7900390625,10.046225786209106
REG_TRANSPORTATION_USED_CAR_PAKISTAN,2,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3801803588867188,0.7900390625,0.5085864067077637,9,2000,10000,1007.6727294921876,2025-08-02 07:06:17,10000,1.3801231384277344,0.7900390625,11.045337915420532
REG_TRANSPORTATION_USED_CAR_PAKISTAN,0,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3618049621582031,0.7900390625,0.508699893951416,9,2000,10000,1007.672779083252,2025-08-02 07:06:16,10000,1.359539031982422,0.7900390625,10.688580751419067
REG_TRANSPORTATION_USED_CAR_PAKISTAN,1,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3811302185058594,0.7900390625,0.5137386322021484,9,2000,10000,1007.672779083252,2025-08-02 07:06:13,10000,1.381072998046875,0.7900390625,10.066733837127686
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,9,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3772125244140625,0.7861328125,0.5086464881896973,7,1639,10000,1007.672779083252,2025-08-02 07:06:05,10000,1.3768653869628906,0.7861328125,10.015738010406494
