model,train_examples,dataset,m_features,fold,Created,train_peak_gpu_gb,train_peak_cpu_gb,train_wall_time_s,inference_wall_time_s,inference_peak_cpu_gb,inference_peak_gpu_gb
TabSTAR ⭐,10000,MUL_HOUSES_MELBOURNE_AIRBNB,92,0,2025-10-06T10:07:48.000Z,39.5712890625,4.8983154296875,2196.7947022914886,15.081387281417848,4.785957336425781,3.6923828125
TabSTAR ⭐,10000,MUL_ANONYM_VOLKERT,180,1,2025-10-06T10:06:33.000Z,9.6513671875,4.741046905517578,1487.5303537845612,5.528438091278076,4.599464416503906,2.5712890625
TabSTAR ⭐,10000,MUL_ANONYM_VOLKERT,180,2,2025-10-06T10:06:30.000Z,9.6123046875,4.740039825439453,1140.8197202682495,5.521710157394409,4.596065521240234,2.5712890625
TabSTAR ⭐,10000,MUL_ANONYM_VOLKERT,180,0,2025-10-06T10:06:14.000Z,9.6181640625,4.7475433349609375,1291.652552843094,5.538938045501709,4.616004943847656,2.5732421875
TabSTAR ⭐,10000,BIN_SCIENCE_SIMULATION_HILL_VALLEY,100,2,2025-10-06T10:05:08.000Z,6.8408203125,4.420185089111328,94.5256896018982,0.5036706924438477,4.397987365722656,1.6435546875
TabSTAR ⭐,10000,BIN_SCIENCE_SIMULATION_HILL_VALLEY,100,1,2025-10-06T10:04:24.000Z,6.8271484375,4.461238861083984,60.29628396034241,0.5084710121154785,4.408378601074219,1.6435546875
TabSTAR ⭐,10000,BIN_SCIENCE_SIMULATION_HILL_VALLEY,100,0,2025-10-06T10:04:04.000Z,6.8466796875,4.413665771484375,66.75750994682312,0.5042612552642822,4.3971099853515625,1.6435546875
TabSTAR ⭐,10000,REG_COMPUTERS_ALGO_RUNTIME_MIP2016,144,2,2025-10-06T10:03:29.000Z,8.3212890625,4.3950958251953125,71.60436177253723,0.5048339366912842,4.408390045166016,1.6474609375
TabSTAR ⭐,10000,REG_COMPUTERS_ALGO_RUNTIME_MIP2016,144,1,2025-10-06T10:01:31.000Z,8.3232421875,4.422859191894531,84.00160622596741,0.5043332576751709,4.415119171142578,1.6474609375
TabSTAR ⭐,10000,REG_COMPUTERS_ALGO_RUNTIME_MIP2016,144,0,2025-10-06T10:00:18.000Z,8.3544921875,4.397388458251953,112.58294105529784,0.5044856071472168,4.408206939697266,1.6474609375
TabSTAR ⭐,10000,BIN_SOCIAL_SPEED_DATING,120,2,2025-10-06T09:59:43.000Z,6.2724609375,4.5281219482421875,465.1319899559021,1.50152325630188,4.4368743896484375,2.3486328125
TabSTAR ⭐,10000,BIN_SOCIAL_SPEED_DATING,120,1,2025-10-06T09:59:22.000Z,6.2685546875,4.516674041748047,461.53713369369507,1.5021915435791016,4.450351715087891,2.3486328125
TabSTAR ⭐,10000,BIN_SOCIAL_SPEED_DATING,120,0,2025-10-06T09:58:04.000Z,6.2666015625,4.561408996582031,883.0245835781097,3.527578830718994,4.444110870361328,2.3486328125
TabSTAR ⭐,10000,REG_ANONYM_FAT_MEAT_TECATOR,124,2,2025-10-06T09:57:20.000Z,7.8447265625,4.397869110107422,36.913641929626465,0.5045356750488281,4.391223907470703,1.6474609375
TabSTAR ⭐,10000,REG_ANONYM_FAT_MEAT_TECATOR,124,0,2025-10-06T09:55:32.000Z,7.8115234375,4.4199371337890625,44.96277189254761,0.5149710178375244,4.3882904052734375,1.6318359375
TabSTAR ⭐,10000,REG_ANONYM_FAT_MEAT_TECATOR,124,1,2025-10-06T09:55:30.000Z,7.8291015625,4.4006195068359375,42.74095368385315,0.5059127807617188,4.3944244384765625,1.6337890625
TabSTAR ⭐,10000,REG_ANONYM_YOLANDA,100,2,2025-10-06T09:53:53.000Z,7.2646484375,5.160335540771484,1266.6634056568146,8.555033206939697,5.118995666503906,2.1630859375
TabSTAR ⭐,10000,REG_ANONYM_YOLANDA,100,1,2025-10-06T09:52:43.000Z,7.2646484375,5.152778625488281,441.95886731147766,4.026501655578613,5.114719390869141,2.1650390625
TabSTAR ⭐,10000,REG_ANONYM_YOLANDA,100,0,2025-10-06T09:50:27.000Z,7.2626953125,5.222476959228516,483.7461874485016,4.016420841217041,5.122188568115234,2.1630859375
