model,dataset_size,dataset,fold,Created,optuna_n_trials
CatBoost-Tuned 😼,10000,MUL_HOUSES_MELBOURNE_AIRBNB,7,2025-04-27T10:55:32.000Z,8
CatBoost-Tuned 😼,10000,MUL_HOUSES_MELBOURNE_AIRBNB,0,2025-04-27T14:12:56.000Z,8
CatBoost-Tuned 😼,10000,MUL_HOUSES_MELBOURNE_AIRBNB,2,2025-04-27T06:53:06.000Z,8
CatBoost-Tuned 😼,10000,MUL_FOOD_WINE_REVIEW,6,2025-04-23T13:25:49.000Z,8
CatBoost-Tuned 😼,10000,MUL_HOUSES_MELBOURNE_AIRBNB,4,2025-04-27T06:34:08.000Z,8
CatBoost-Tuned 😼,10000,MUL_HOUSES_MELBOURNE_AIRBNB,3,2025-04-27T14:12:55.000Z,8
CatBoost-Tuned 😼,10000,MUL_FOOD_WINE_REVIEW,0,2025-04-25T02:34:32.000Z,8
CatBoost-Tuned 😼,10000,MUL_HOUSES_MELBOURNE_AIRBNB,6,2025-04-27T06:53:14.000Z,9
CatBoost-Tuned 😼,10000,MUL_HOUSES_MELBOURNE_AIRBNB,8,2025-04-27T14:12:55.000Z,9
CatBoost-Tuned 😼,10000,MUL_FOOD_WINE_REVIEW,2,2025-04-25T16:46:57.000Z,9
CatBoost-Tuned 😼,10000,MUL_HOUSES_MELBOURNE_AIRBNB,5,2025-04-27T06:34:08.000Z,9
CatBoost-Tuned 😼,10000,MUL_FOOD_WINE_REVIEW,7,2025-04-23T10:43:26.000Z,9
CatBoost-Tuned 😼,10000,MUL_HOUSES_MELBOURNE_AIRBNB,9,2025-04-27T14:12:56.000Z,9
CatBoost-Tuned 😼,10000,MUL_FOOD_WINE_REVIEW,4,2025-04-23T10:43:14.000Z,9
CatBoost-Tuned 😼,10000,MUL_HOUSES_MELBOURNE_AIRBNB,1,2025-04-27T11:17:56.000Z,10
CatBoost-Tuned 😼,10000,MUL_FOOD_WINE_REVIEW,8,2025-04-24T12:00:15.000Z,10
CatBoost-Tuned 😼,10000,MUL_FOOD_WINE_REVIEW,9,2025-04-25T05:50:43.000Z,10
CatBoost-Tuned 😼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,7,2025-04-23T10:49:11.000Z,11
CatBoost-Tuned 😼,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,3,2025-04-27T16:18:07.000Z,11
CatBoost-Tuned 😼,10000,MUL_FOOD_WINE_REVIEW,3,2025-04-23T12:24:09.000Z,11
CatBoost-Tuned 😼,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,6,2025-04-27T05:52:01.000Z,12
CatBoost-Tuned 😼,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,9,2025-04-27T16:13:39.000Z,12
CatBoost-Tuned 😼,10000,MUL_FOOD_WINE_REVIEW,5,2025-04-24T18:22:33.000Z,12
CatBoost-Tuned 😼,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,4,2025-04-27T13:16:46.000Z,12
CatBoost-Tuned 😼,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,7,2025-04-27T05:51:58.000Z,13
CatBoost-Tuned 😼,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,3,2025-04-25T16:56:24.000Z,13
CatBoost-Tuned 😼,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,9,2025-04-25T02:32:32.000Z,13
CatBoost-Tuned 😼,10000,MUL_FOOD_WINE_REVIEW,1,2025-04-25T22:19:50.000Z,13
CatBoost-Tuned 😼,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,4,2025-04-25T11:56:23.000Z,13
CatBoost-Tuned 😼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,2025-04-23T12:39:22.000Z,13
CatBoost-Tuned 😼,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,4,2025-04-24T07:59:04.000Z,14
CatBoost-Tuned 😼,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,8,2025-04-27T14:12:35.000Z,14
CatBoost-Tuned 😼,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,0,2025-04-23T19:51:26.000Z,15
CatBoost-Tuned 😼,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,1,2025-04-23T10:49:12.000Z,15
CatBoost-Tuned 😼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,2025-04-24T21:23:25.000Z,15
CatBoost-Tuned 😼,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,1,2025-04-27T15:42:52.000Z,15
CatBoost-Tuned 😼,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,1,2025-04-25T21:01:21.000Z,15
CatBoost-Tuned 😼,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,8,2025-04-25T02:38:37.000Z,15
CatBoost-Tuned 😼,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,6,2025-04-24T11:50:40.000Z,15
CatBoost-Tuned 😼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,2025-04-24T22:28:02.000Z,15
CatBoost-Tuned 😼,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,8,2025-04-24T12:01:55.000Z,16
CatBoost-Tuned 😼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,2025-04-24T14:01:16.000Z,16
CatBoost-Tuned 😼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,6,2025-04-24T12:37:46.000Z,16
CatBoost-Tuned 😼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,2025-04-23T12:26:09.000Z,16
CatBoost-Tuned 😼,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,5,2025-04-25T02:17:45.000Z,17
CatBoost-Tuned 😼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,2025-04-25T05:32:59.000Z,17
CatBoost-Tuned 😼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,2025-04-25T18:09:06.000Z,17
CatBoost-Tuned 😼,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,2,2025-04-27T11:49:32.000Z,17
CatBoost-Tuned 😼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,8,2025-04-25T11:57:14.000Z,17
CatBoost-Tuned 😼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,2025-04-25T21:06:15.000Z,17
CatBoost-Tuned 😼,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,5,2025-04-27T11:01:23.000Z,18
CatBoost-Tuned 😼,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,0,2025-04-27T14:51:56.000Z,18
CatBoost-Tuned 😼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,4,2025-04-25T11:57:15.000Z,18
CatBoost-Tuned 😼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,1,2025-04-23T12:39:34.000Z,18
CatBoost-Tuned 😼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,5,2025-04-25T16:20:52.000Z,18
CatBoost-Tuned 😼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,0,2025-04-24T16:00:11.000Z,19
CatBoost-Tuned 😼,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,5,2025-04-25T02:56:35.000Z,19
CatBoost-Tuned 😼,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,3,2025-04-25T16:57:07.000Z,19
CatBoost-Tuned 😼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,2,2025-04-25T20:34:46.000Z,19
CatBoost-Tuned 😼,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,7,2025-04-23T19:51:21.000Z,20
CatBoost-Tuned 😼,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,2,2025-04-23T13:46:49.000Z,20
CatBoost-Tuned 😼,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,9,2025-04-25T16:36:16.000Z,20
CatBoost-Tuned 😼,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,8,2025-04-23T13:27:28.000Z,21
CatBoost-Tuned 😼,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,5,2025-04-22T14:09:42.000Z,21
CatBoost-Tuned 😼,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,0,2025-04-25T15:46:41.000Z,22
CatBoost-Tuned 😼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,3,2025-04-24T21:41:03.000Z,22
CatBoost-Tuned 😼,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,9,2025-04-25T02:46:25.000Z,22
CatBoost-Tuned 😼,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,7,2025-04-24T16:26:36.000Z,23
CatBoost-Tuned 😼,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,8,2025-04-22T14:09:42.000Z,24
CatBoost-Tuned 😼,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,6,2025-04-25T16:36:17.000Z,24
CatBoost-Tuned 😼,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,7,2025-04-27T05:51:58.000Z,24
CatBoost-Tuned 😼,10000,REG_SOCIAL_BOOKS_GOODREADS,4,2025-04-23T13:27:19.000Z,25
CatBoost-Tuned 😼,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,3,2025-04-22T14:09:10.000Z,25
CatBoost-Tuned 😼,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,2,2025-04-22T14:09:22.000Z,25
CatBoost-Tuned 😼,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,8,2025-04-27T15:35:39.000Z,25
CatBoost-Tuned 😼,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,4,2025-04-22T14:09:09.000Z,26
CatBoost-Tuned 😼,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,2,2025-04-25T02:09:07.000Z,26
CatBoost-Tuned 😼,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,1,2025-04-22T14:09:25.000Z,27
CatBoost-Tuned 😼,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,9,2025-04-22T14:09:41.000Z,27
CatBoost-Tuned 😼,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,9,2025-04-22T14:48:00.000Z,27
CatBoost-Tuned 😼,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,5,2025-04-27T14:12:56.000Z,27
CatBoost-Tuned 😼,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,6,2025-04-22T14:09:38.000Z,27
CatBoost-Tuned 😼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,2025-04-25T11:38:26.000Z,27
CatBoost-Tuned 😼,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,2025-04-24T12:26:51.000Z,28
CatBoost-Tuned 😼,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,9,2025-04-27T14:12:55.000Z,28
CatBoost-Tuned 😼,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,2,2025-04-27T06:34:06.000Z,28
CatBoost-Tuned 😼,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,7,2025-04-22T15:15:38.000Z,28
CatBoost-Tuned 😼,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,1,2025-04-27T14:37:31.000Z,28
CatBoost-Tuned 😼,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,8,2025-04-22T14:47:58.000Z,28
CatBoost-Tuned 😼,10000,REG_CONSUMER_AMERICAN_EAGLE_PRICES,7,2025-04-23T13:26:27.000Z,29
CatBoost-Tuned 😼,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,0,2025-04-27T06:34:16.000Z,29
CatBoost-Tuned 😼,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,7,2025-04-22T14:47:58.000Z,31
CatBoost-Tuned 😼,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,7,2025-04-22T14:09:42.000Z,31
CatBoost-Tuned 😼,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,6,2025-04-27T12:04:05.000Z,31
CatBoost-Tuned 😼,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,4,2025-04-27T06:34:17.000Z,32
CatBoost-Tuned 😼,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,4,2025-04-22T14:47:58.000Z,33
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_DATASET_REVENUE,3,2025-04-23T19:51:01.000Z,34
CatBoost-Tuned 😼,10000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,2,2025-04-23T13:26:54.000Z,34
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,2,2025-04-22T17:43:01.000Z,34
CatBoost-Tuned 😼,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,6,2025-04-22T14:47:57.000Z,34
CatBoost-Tuned 😼,10000,REG_SOCIAL_VIDEO_GAMES_SALES,7,2025-04-23T13:26:55.000Z,34
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_DATASET_REVENUE,6,2025-04-25T06:58:09.000Z,34
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_DATASET_REVENUE,9,2025-04-25T11:56:46.000Z,34
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_DATASET_REVENUE,5,2025-04-25T19:19:37.000Z,35
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_DATASET_REVENUE,0,2025-04-24T11:17:55.000Z,35
CatBoost-Tuned 😼,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,5,2025-04-22T14:47:57.000Z,35
CatBoost-Tuned 😼,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,4,2025-04-24T11:50:47.000Z,36
CatBoost-Tuned 😼,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,0,2025-04-24T12:14:39.000Z,37
CatBoost-Tuned 😼,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,1,2025-04-23T10:49:06.000Z,37
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,0,2025-04-22T17:42:55.000Z,37
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_DATASET_REVENUE,2,2025-04-25T06:41:09.000Z,38
CatBoost-Tuned 😼,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,3,2025-04-25T02:56:45.000Z,38
CatBoost-Tuned 😼,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,0,2025-04-25T02:09:58.000Z,38
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,4,2025-04-27T10:50:43.000Z,39
CatBoost-Tuned 😼,10000,REG_CONSUMER_AMERICAN_EAGLE_PRICES,0,2025-04-22T14:47:59.000Z,39
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,8,2025-04-23T19:51:21.000Z,39
CatBoost-Tuned 😼,10000,REG_SOCIAL_ANIME_PLANET_RATING,1,2025-04-23T13:26:42.000Z,40
CatBoost-Tuned 😼,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,3,2025-04-25T02:47:12.000Z,40
CatBoost-Tuned 😼,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,8,2025-04-22T15:15:32.000Z,40
CatBoost-Tuned 😼,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,6,2025-04-22T15:15:54.000Z,41
CatBoost-Tuned 😼,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,9,2025-04-22T15:15:39.000Z,41
CatBoost-Tuned 😼,10000,REG_SOCIAL_ANIME_PLANET_RATING,6,2025-04-24T21:55:37.000Z,41
CatBoost-Tuned 😼,10000,REG_SOCIAL_MUSEUMS_US_REVENUES,2,2025-04-25T17:47:46.000Z,41
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_DATASET_REVENUE,7,2025-04-24T16:50:00.000Z,41
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,1,2025-04-22T17:42:56.000Z,41
CatBoost-Tuned 😼,10000,REG_SOCIAL_BOOKS_GOODREADS,8,2025-04-23T10:49:12.000Z,42
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,7,2025-04-25T17:11:22.000Z,42
CatBoost-Tuned 😼,10000,REG_FOOD_ZOMATO_RESTAURANTS,9,2025-04-25T16:49:05.000Z,42
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,6,2025-04-25T21:26:19.000Z,42
CatBoost-Tuned 😼,10000,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,0,2025-04-24T11:17:57.000Z,42
CatBoost-Tuned 😼,10000,REG_SOCIAL_ANIME_PLANET_RATING,3,2025-04-24T12:06:14.000Z,43
CatBoost-Tuned 😼,10000,REG_SOCIAL_ANIME_PLANET_RATING,8,2025-04-24T21:46:41.000Z,43
CatBoost-Tuned 😼,10000,REG_SOCIAL_MOVIES_DATASET_REVENUE,1,2025-04-23T10:43:24.000Z,43
CatBoost-Tuned 😼,10000,REG_FOOD_COFFEE_REVIEW,1,2025-04-23T12:39:34.000Z,44
