model,dataset_size,dataset,fold,Created,optuna_n_trials
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,8,2025-05-07T13:50:07.000Z,8
CatBoost-Tuned 😼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,2025-05-04T21:04:15.000Z,8
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,4,2025-05-04T15:47:03.000Z,8
CatBoost-Tuned 😼,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,1,2025-05-08T11:23:16.000Z,8
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,1,2025-05-07T11:27:02.000Z,8
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,8,2025-05-05T00:34:03.000Z,8
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,5,2025-05-04T15:47:03.000Z,8
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,3,2025-05-04T15:46:59.000Z,8
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,2,2025-05-07T11:42:51.000Z,8
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,1,2025-05-04T15:46:58.000Z,8
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,6,2025-05-04T15:47:03.000Z,8
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,9,2025-05-07T14:25:00.000Z,8
CatBoost-Tuned 😼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,2025-05-05T23:17:52.000Z,8
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,0,2025-05-07T09:59:57.000Z,8
CatBoost-Tuned 😼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,2025-05-06T15:21:04.000Z,8
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,7,2025-05-07T13:21:15.000Z,8
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,0,2025-05-04T15:46:52.000Z,9
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,4,2025-05-07T12:17:26.000Z,9
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,7,2025-05-04T19:55:11.000Z,9
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,2,2025-05-04T15:47:00.000Z,9
CatBoost-Tuned 😼,100000,MUL_HOUSES_MELBOURNE_AIRBNB,9,2025-05-05T00:35:13.000Z,9
CatBoost-Tuned 😼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,2025-05-06T08:18:15.000Z,9
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,5,2025-05-07T13:10:55.000Z,9
CatBoost-Tuned 😼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,2025-05-04T21:04:16.000Z,9
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,3,2025-05-07T11:54:31.000Z,9
CatBoost-Tuned 😼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,2025-05-04T21:04:13.000Z,10
CatBoost-Tuned 😼,100000,MUL_FOOD_WINE_REVIEW,6,2025-05-07T13:17:19.000Z,10
CatBoost-Tuned 😼,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,6,2025-05-12T07:25:29.000Z,10
CatBoost-Tuned 😼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,2025-05-05T13:52:17.000Z,10
CatBoost-Tuned 😼,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,3,2025-05-08T11:27:28.000Z,10
CatBoost-Tuned 😼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,2025-05-05T15:04:22.000Z,10
CatBoost-Tuned 😼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,2025-05-06T20:06:30.000Z,11
CatBoost-Tuned 😼,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,2,2025-05-08T11:27:13.000Z,11
CatBoost-Tuned 😼,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,2025-05-05T16:44:18.000Z,11
CatBoost-Tuned 😼,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,0,2025-05-08T11:24:30.000Z,12
CatBoost-Tuned 😼,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,1,2025-05-07T00:58:21.000Z,12
CatBoost-Tuned 😼,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,8,2025-05-12T07:25:25.000Z,12
CatBoost-Tuned 😼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,8,2025-05-08T06:16:04.000Z,12
CatBoost-Tuned 😼,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,7,2025-05-08T11:28:20.000Z,13
CatBoost-Tuned 😼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,1,2025-05-08T02:42:10.000Z,13
CatBoost-Tuned 😼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,9,2025-05-08T06:32:49.000Z,13
CatBoost-Tuned 😼,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,9,2025-05-08T11:28:15.000Z,14
CatBoost-Tuned 😼,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,7,2025-05-07T05:26:12.000Z,14
CatBoost-Tuned 😼,100000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,9,2025-05-07T06:59:17.000Z,15
CatBoost-Tuned 😼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,7,2025-05-08T04:21:34.000Z,15
CatBoost-Tuned 😼,100000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,3,2025-05-08T03:17:31.000Z,16
CatBoost-Tuned 😼,100000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,2,2025-05-05T04:57:24.000Z,16
