model,dataset_size,dataset,fold,Created,optuna_n_trials
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,9,2025-07-19T10:25:43.000Z,9144
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,3,2025-07-18T19:12:55.000Z,3968
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,4,2025-07-18T19:12:52.000Z,5115
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,6,2025-07-18T19:12:51.000Z,5064
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,2,2025-07-18T19:12:51.000Z,4621
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,5,2025-07-18T19:12:51.000Z,4848
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,1,2025-07-18T19:12:48.000Z,4986
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,7,2025-07-18T19:12:48.000Z,5164
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,8,2025-07-18T19:12:47.000Z,5073
LightGBM-Tuned ⚡,10000,REG_FOOD_RAMEN_RATINGS_2022,0,2025-07-18T19:04:01.000Z,4770
LightGBM-Tuned ⚡,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,8,2025-07-18T09:50:09.000Z,3669
LightGBM-Tuned ⚡,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,9,2025-07-18T09:41:03.000Z,4344
LightGBM-Tuned ⚡,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,7,2025-07-18T06:28:30.000Z,4220
LightGBM-Tuned ⚡,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,6,2025-07-18T06:28:14.000Z,3929
LightGBM-Tuned ⚡,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,5,2025-07-18T06:20:53.000Z,3984
LightGBM-Tuned ⚡,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,3,2025-07-18T05:36:33.000Z,4079
LightGBM-Tuned ⚡,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,1,2025-07-18T05:36:28.000Z,3972
LightGBM-Tuned ⚡,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,0,2025-07-18T05:36:28.000Z,3939
LightGBM-Tuned ⚡,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,2,2025-07-18T05:36:27.000Z,3998
LightGBM-Tuned ⚡,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,4,2025-07-18T05:33:58.000Z,6965
