model,dataset_size,dataset,fold,Created,optuna_n_trials
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,9,2025-07-24T00:37:17.000Z,163
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,8,2025-07-24T00:33:15.000Z,179
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,7,2025-07-24T00:32:19.000Z,167
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,6,2025-07-24T00:30:15.000Z,162
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,5,2025-07-24T00:29:30.000Z,162
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,3,2025-07-23T20:15:20.000Z,173
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,0,2025-07-23T20:15:19.000Z,158
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,4,2025-07-23T20:15:14.000Z,189
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,2,2025-07-23T20:15:14.000Z,177
LightGBM-Tuned ⚡,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,1,2025-07-23T20:15:13.000Z,166
LightGBM-Tuned ⚡,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,2025-07-23T11:52:19.000Z,50
LightGBM-Tuned ⚡,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,2025-07-23T11:48:38.000Z,54
LightGBM-Tuned ⚡,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,2025-07-23T11:48:13.000Z,54
LightGBM-Tuned ⚡,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,2025-07-23T11:48:02.000Z,58
LightGBM-Tuned ⚡,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,2025-07-23T11:48:01.000Z,59
LightGBM-Tuned ⚡,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,3,2025-07-23T07:31:44.000Z,89
LightGBM-Tuned ⚡,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,4,2025-07-23T07:31:43.000Z,90
LightGBM-Tuned ⚡,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,5,2025-07-23T07:31:43.000Z,93
LightGBM-Tuned ⚡,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,8,2025-07-23T07:31:43.000Z,152
LightGBM-Tuned ⚡,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,1,2025-07-23T07:31:43.000Z,50
LightGBM-Tuned ⚡,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,6,2025-07-23T07:31:43.000Z,90
LightGBM-Tuned ⚡,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,2025-07-23T07:31:43.000Z,50
LightGBM-Tuned ⚡,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,7,2025-07-23T07:31:43.000Z,168
LightGBM-Tuned ⚡,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,2025-07-23T07:31:42.000Z,47
LightGBM-Tuned ⚡,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,9,2025-07-23T07:31:42.000Z,163
LightGBM-Tuned ⚡,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,0,2025-07-23T07:31:42.000Z,32
LightGBM-Tuned ⚡,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,2,2025-07-23T07:31:37.000Z,60
LightGBM-Tuned ⚡,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,1,2025-07-23T07:31:36.000Z,164
LightGBM-Tuned ⚡,100000,REG_HOUSES_CALIFORNIA_PRICES_2020,0,2025-07-23T07:31:35.000Z,160
LightGBM-Tuned ⚡,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,2025-07-23T07:20:22.000Z,59
