model,dataset_size,dataset,fold,Created,optuna_n_trials
RealMLP-Tuned 🌐,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,8,2025-07-22T21:18:26.000Z,37
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,9,2025-07-22T07:00:42.000Z,35
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,8,2025-07-22T06:43:58.000Z,36
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,7,2025-07-22T06:43:44.000Z,33
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,6,2025-07-22T06:38:37.000Z,39
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,5,2025-07-22T06:34:46.000Z,36
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,4,2025-07-22T06:31:27.000Z,27
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,3,2025-07-22T06:28:35.000Z,38
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,2,2025-07-22T06:21:53.000Z,39
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,1,2025-07-22T06:10:06.000Z,36
RealMLP-Tuned 🌐,10000,MUL_FOOD_WINE_REVIEW,0,2025-07-22T05:31:04.000Z,34
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,9,2025-07-22T04:32:06.000Z,89
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,8,2025-07-22T04:24:37.000Z,211
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,7,2025-07-22T04:23:48.000Z,103
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,6,2025-07-22T04:23:17.000Z,83
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,5,2025-07-22T04:17:52.000Z,106
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,4,2025-07-22T04:17:13.000Z,84
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,3,2025-07-22T04:12:38.000Z,106
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,2,2025-07-22T04:12:00.000Z,106
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,0,2025-07-22T04:06:38.000Z,97
RealMLP-Tuned 🌐,10000,REG_FOOD_RAMEN_RATINGS_2022,1,2025-07-22T04:06:04.000Z,163
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,9,2025-07-22T04:04:02.000Z,309
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,8,2025-07-22T04:00:35.000Z,191
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,7,2025-07-22T03:59:41.000Z,191
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,6,2025-07-22T03:53:42.000Z,193
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,5,2025-07-22T03:53:18.000Z,199
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,4,2025-07-22T03:49:53.000Z,203
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,3,2025-07-22T03:47:40.000Z,160
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,2,2025-07-22T03:47:23.000Z,144
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,1,2025-07-22T03:44:47.000Z,157
RealMLP-Tuned 🌐,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,0,2025-07-22T02:51:15.000Z,170
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,9,2025-07-22T02:34:05.000Z,126
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,8,2025-07-22T02:26:50.000Z,203
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,7,2025-07-22T02:10:44.000Z,101
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,6,2025-07-22T02:06:02.000Z,141
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,5,2025-07-22T02:03:56.000Z,117
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,4,2025-07-22T02:00:25.000Z,104
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,3,2025-07-22T01:57:01.000Z,111
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,2,2025-07-22T01:50:49.000Z,117
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,1,2025-07-22T01:37:13.000Z,121
RealMLP-Tuned 🌐,10000,REG_FOOD_COFFEE_REVIEW,0,2025-07-22T01:12:32.000Z,218
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,9,2025-07-22T00:10:20.000Z,88
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,8,2025-07-21T23:54:36.000Z,150
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,7,2025-07-21T23:51:50.000Z,148
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,6,2025-07-21T23:41:57.000Z,91
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,5,2025-07-21T23:32:39.000Z,95
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,4,2025-07-21T23:30:52.000Z,96
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,3,2025-07-21T23:29:28.000Z,97
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,2,2025-07-21T23:27:27.000Z,78
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,1,2025-07-21T23:26:29.000Z,73
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,0,2025-07-21T23:25:26.000Z,67
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,9,2025-07-21T23:22:02.000Z,76
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,8,2025-07-21T23:19:17.000Z,54
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,7,2025-07-21T23:18:49.000Z,70
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,6,2025-07-21T23:18:45.000Z,85
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,5,2025-07-21T23:18:08.000Z,53
