model,dataset_size,dataset,fold,Created,optuna_n_trials
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,9,2025-07-26T02:44:17.000Z,9
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,8,2025-07-26T02:25:32.000Z,11
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,7,2025-07-26T01:51:53.000Z,11
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,6,2025-07-26T01:29:51.000Z,10
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,5,2025-07-26T00:31:19.000Z,10
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,4,2025-07-26T00:02:32.000Z,9
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,3,2025-07-25T23:56:59.000Z,12
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,2,2025-07-25T23:46:10.000Z,13
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,1,2025-07-25T23:20:15.000Z,14
RealMLP-Tuned 🌐,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,0,2025-07-25T23:04:51.000Z,9
RealMLP-Tuned 🌐,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,9,2025-07-25T23:01:56.000Z,9
RealMLP-Tuned 🌐,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,8,2025-07-25T19:50:50.000Z,9
RealMLP-Tuned 🌐,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,7,2025-07-25T18:26:34.000Z,11
RealMLP-Tuned 🌐,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,6,2025-07-25T18:06:45.000Z,12
RealMLP-Tuned 🌐,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,5,2025-07-25T16:27:56.000Z,8
RealMLP-Tuned 🌐,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,4,2025-07-25T15:42:50.000Z,9
RealMLP-Tuned 🌐,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,3,2025-07-25T14:56:41.000Z,8
RealMLP-Tuned 🌐,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,1,2025-07-25T14:25:21.000Z,8
RealMLP-Tuned 🌐,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,2,2025-07-25T14:25:20.000Z,8
RealMLP-Tuned 🌐,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,0,2025-07-25T14:24:56.000Z,9
RealMLP-Tuned 🌐,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,2025-07-25T13:20:48.000Z,8
RealMLP-Tuned 🌐,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,2025-07-25T13:00:28.000Z,8
RealMLP-Tuned 🌐,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,2025-07-25T12:59:56.000Z,8
RealMLP-Tuned 🌐,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,6,2025-07-25T12:45:39.000Z,8
RealMLP-Tuned 🌐,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,2025-07-25T12:05:54.000Z,8
RealMLP-Tuned 🌐,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,2025-07-25T11:54:49.000Z,8
RealMLP-Tuned 🌐,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,2025-07-25T11:48:54.000Z,8
RealMLP-Tuned 🌐,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,2025-07-25T11:26:33.000Z,8
