model,dataset_size,dataset,fold,Created,optuna_n_trials
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,9,2025-10-14T06:47:38.000Z,50
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,8,2025-10-14T05:39:21.000Z,54
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,7,2025-10-14T04:30:16.000Z,57
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,6,2025-10-14T03:23:02.000Z,106
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,5,2025-10-14T02:19:02.000Z,50
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,4,2025-10-14T01:10:20.000Z,56
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,3,2025-10-14T00:03:11.000Z,51
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,2,2025-10-13T22:58:32.000Z,64
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,1,2025-10-13T21:48:15.000Z,63
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,0,2025-10-13T20:39:45.000Z,60
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,9,2025-10-12T21:22:09.000Z,84
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,8,2025-10-12T21:19:22.000Z,88
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,7,2025-10-12T21:13:41.000Z,90
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,6,2025-10-12T21:12:37.000Z,33
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,5,2025-10-12T21:11:12.000Z,82
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,4,2025-10-12T21:09:41.000Z,83
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,3,2025-10-12T20:55:05.000Z,83
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,2,2025-10-12T20:34:20.000Z,72
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,1,2025-10-12T20:16:00.000Z,77
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,0,2025-10-12T20:14:24.000Z,85
TabM-Tuned 〽️,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,9,2025-10-12T20:07:33.000Z,57
