model,dataset_size,dataset,fold,Created,optuna_n_trials
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,9,2025-10-14T15:40:19.000Z,16
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,5,2025-10-14T15:36:14.000Z,16
TabM-Tuned 〽️,100000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,3,2025-10-14T15:33:06.000Z,11
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,9,2025-10-14T15:21:49.000Z,12
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,8,2025-10-14T15:08:16.000Z,15
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,8,2025-10-14T15:04:38.000Z,9
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,7,2025-10-14T14:38:26.000Z,14
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,6,2025-10-14T14:22:53.000Z,9
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,5,2025-10-14T14:11:06.000Z,16
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,4,2025-10-14T14:09:55.000Z,17
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,3,2025-10-14T13:49:48.000Z,15
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,2,2025-10-14T13:36:10.000Z,14
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,1,2025-10-14T13:29:29.000Z,12
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,0,2025-10-14T13:24:28.000Z,12
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,9,2025-10-14T13:21:48.000Z,36
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,7,2025-10-14T13:21:41.000Z,13
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,8,2025-10-14T13:15:34.000Z,67
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,7,2025-10-14T13:08:32.000Z,114
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,6,2025-10-14T13:06:03.000Z,82
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,5,2025-10-14T12:41:27.000Z,54
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,6,2025-10-14T12:34:47.000Z,8
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,4,2025-10-14T12:25:52.000Z,56
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,3,2025-10-14T12:18:31.000Z,58
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,2,2025-10-14T12:15:23.000Z,66
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,1,2025-10-14T12:11:45.000Z,42
TabM-Tuned 〽️,100000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,0,2025-10-14T12:09:13.000Z,68
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,9,2025-10-14T12:01:06.000Z,107
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,8,2025-10-14T11:59:43.000Z,89
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,5,2025-10-14T11:39:25.000Z,10
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,7,2025-10-14T11:33:43.000Z,98
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,6,2025-10-14T11:22:01.000Z,106
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,5,2025-10-14T11:07:12.000Z,64
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,4,2025-10-14T11:02:37.000Z,59
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,3,2025-10-14T10:56:07.000Z,110
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,2,2025-10-14T10:51:35.000Z,103
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,1,2025-10-14T10:50:28.000Z,60
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,4,2025-10-14T10:43:04.000Z,9
TabM-Tuned 〽️,100000,REG_SPORTS_FIFA22_WAGES,0,2025-10-14T10:28:28.000Z,99
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,3,2025-10-14T10:13:34.000Z,14
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,9,2025-10-14T09:46:18.000Z,33
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,8,2025-10-14T09:38:19.000Z,37
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,7,2025-10-14T09:30:19.000Z,24
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,6,2025-10-14T09:15:01.000Z,39
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,5,2025-10-14T09:10:21.000Z,21
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,2,2025-10-14T09:03:30.000Z,10
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,4,2025-10-14T08:29:04.000Z,35
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,3,2025-10-14T08:14:18.000Z,26
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,2,2025-10-14T07:55:36.000Z,30
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,1,2025-10-14T06:58:02.000Z,54
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,1,2025-10-14T06:56:03.000Z,23
TabM-Tuned 〽️,100000,REG_SOCIAL_VIDEO_GAMES_SALES,0,2025-10-14T06:42:41.000Z,26
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,9,2025-10-14T06:26:17.000Z,9
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,8,2025-10-14T05:56:08.000Z,9
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,7,2025-10-14T05:23:30.000Z,10
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,6,2025-10-14T05:10:09.000Z,11
TabM-Tuned 〽️,100000,BIN_SOCIAL_JIGSAW_TOXICITY,0,2025-10-14T02:18:40.000Z,15
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,5,2025-10-14T02:04:36.000Z,8
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,4,2025-10-14T01:58:38.000Z,10
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,3,2025-10-14T01:49:35.000Z,10
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,2,2025-10-14T01:14:23.000Z,8
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,1,2025-10-14T01:04:59.000Z,9
TabM-Tuned 〽️,100000,REG_SOCIAL_SPOTIFY_POPULARITY,0,2025-10-14T00:58:27.000Z,8
