model,dataset_size,dataset,fold,Created,optuna_n_trials
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,0,2025-04-29T23:58:41.000Z,9
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,7,2025-04-29T14:32:30.000Z,13
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,4,2025-05-01T06:59:33.000Z,13
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,9,2025-04-27T19:39:15.000Z,13
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,1,2025-05-02T12:26:53.000Z,13
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,3,2025-05-01T05:59:38.000Z,13
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,6,2025-04-30T06:11:52.000Z,14
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,8,2025-05-02T01:49:50.000Z,15
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,5,2025-05-01T06:59:29.000Z,16
XGBoost-Tuned 🍃,10000,MUL_HOUSES_MELBOURNE_AIRBNB,2,2025-04-30T09:36:25.000Z,18
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,6,2025-04-29T14:32:34.000Z,24
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,1,2025-04-28T06:48:33.000Z,27
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,9,2025-04-28T08:07:53.000Z,27
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,0,2025-04-28T06:11:21.000Z,27
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,4,2025-04-28T21:24:04.000Z,28
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,4,2025-04-27T23:18:32.000Z,29
XGBoost-Tuned 🍃,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,0,2025-04-28T08:28:48.000Z,30
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,6,2025-04-28T05:12:43.000Z,30
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,2025-04-27T14:26:10.000Z,30
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,7,2025-04-28T05:44:42.000Z,30
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,3,2025-04-27T22:24:14.000Z,31
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,8,2025-05-01T05:59:36.000Z,33
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,5,2025-04-28T04:56:06.000Z,34
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,8,2025-04-28T06:25:44.000Z,34
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,9,2025-04-28T11:10:08.000Z,35
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,8,2025-04-28T22:38:32.000Z,35
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,1,2025-04-27T22:03:20.000Z,35
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,1,2025-04-28T20:53:33.000Z,35
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,7,2025-04-30T01:49:29.000Z,35
XGBoost-Tuned 🍃,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,5,2025-04-28T11:16:47.000Z,35
XGBoost-Tuned 🍃,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,6,2025-04-28T11:21:50.000Z,37
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,6,2025-05-01T05:59:35.000Z,37
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,0,2025-04-27T22:00:07.000Z,37
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,0,2025-04-28T20:42:49.000Z,38
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,5,2025-04-27T14:26:00.000Z,38
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,5,2025-04-28T21:28:28.000Z,41
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,7,2025-04-28T22:09:36.000Z,41
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,3,2025-04-28T10:14:28.000Z,41
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,2,2025-05-02T10:37:29.000Z,41
XGBoost-Tuned 🍃,10000,REG_CONSUMER_CAR_PRICE_CARDEKHO,2,2025-04-27T22:12:57.000Z,41
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,4,2025-05-02T07:13:42.000Z,41
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,4,2025-04-27T14:25:55.000Z,42
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,4,2025-05-01T05:59:37.000Z,42
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,5,2025-04-29T14:14:05.000Z,42
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7,2025-04-27T14:26:06.000Z,43
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,3,2025-04-27T14:26:08.000Z,43
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,3,2025-04-30T08:02:16.000Z,43
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,1,2025-05-01T19:42:45.000Z,43
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,8,2025-05-01T20:42:32.000Z,44
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,5,2025-04-30T05:37:43.000Z,45
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,3,2025-04-30T06:23:53.000Z,46
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,3,2025-05-02T07:52:56.000Z,46
