model,dataset_size,dataset,fold,Created,optuna_n_trials
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,1,2025-05-05T13:08:56.000Z,9
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,5,2025-05-05T14:54:37.000Z,9
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,4,2025-05-05T14:00:01.000Z,10
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,8,2025-05-12T14:22:24.000Z,10
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,3,2025-05-05T13:43:51.000Z,10
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,0,2025-05-05T12:19:21.000Z,11
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,6,2025-05-05T15:04:36.000Z,12
XGBoost-Tuned 🍃,100000,MUL_HOUSES_MELBOURNE_AIRBNB,9,2025-05-12T14:48:17.000Z,12
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,8,2025-05-05T16:16:54.000Z,12
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,9,2025-05-05T16:16:56.000Z,12
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,7,2025-05-12T12:07:35.000Z,13
XGBoost-Tuned 🍃,100000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,9,2025-05-05T20:07:29.000Z,13
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,6,2025-05-12T12:07:35.000Z,14
XGBoost-Tuned 🍃,100000,REG_CONSUMER_CAR_PRICE_CARDEKHO,3,2025-05-12T12:15:35.000Z,14
XGBoost-Tuned 🍃,100000,MUL_FOOD_WINE_REVIEW,6,2025-05-05T16:16:51.000Z,14
